sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
,large infarction,-1,,0.83,APPROVED,EQUAL,Leo,1732985218776,443454,Cerebral infarction,Condition,MAPS_TO,,Leo,1732985217002,
,oxygen saturation,-1,,0.85,APPROVED,EQUAL,Leo,1732997395872,40486533,Finding of oxygen saturation,Measurement,MAPS_TO,,Leo,1732997394545,
,sex(female),-1,,0.35,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,Dyslipidemia,-1,,1.00,APPROVED,EQUAL,Leo,1732983611190,4159131,Dyslipidemia,Condition,MAPS_TO,,Leo,1732983610008,
,heart failure,-1,,1.00,APPROVED,EQUAL,Leo,1731580365592,316139,Heart failure,Condition,MAPS_TO,,<auto>,1731540323815,
,time_to_therapy,-1,,0.39,FLAGGED,EQUAL,Leo,1733008552252,0,Unmapped,,MAPS_TO,,,0,
,blood lipids,-1,,0.82,APPROVED,EQUAL,Leo,1731545111655,432867,Hyperlipidemia,Condition,MAPS_TO,,Leo,1731545111182,
,EMV,-1,,0.54,FLAGGED,EQUAL,Leo,1731548309864,0,Unmapped,,MAPS_TO,,,0,
,deep vein thrombosis,-1,,1.00,APPROVED,EQUAL,Leo,1731547640865,4133004,Deep venous thrombosis,Condition,MAPS_TO,,<auto>,1731540324069,
,stenoses of cerebral vessels,-1,,0.82,APPROVED,EQUAL,Leo,1733012594244,4217691,Stenosis,Observation,MAPS_TO,,Leo,1733012592927,
,BMI,-1,,0.68,APPROVED,EQUAL,Leo,1732998109506,4171825,Increased body mass index,Observation,MAPS_TO,,Leo,1732998105805,
,cardiac thrombus,-1,,0.77,APPROVED,EQUAL,Leo,1731546024433,42538532,Thrombus of cardiac chamber,Condition,MAPS_TO,,Leo,1731546023492,
,second stroke,-1,,0.74,APPROVED,EQUAL,Leo,1731586138197,4310996,Ischemic stroke,Condition,MAPS_TO,,Leo,1731586137726,
,BMI_t1,-1,,0.24,APPROVED,EQUAL,Leo,1732998125293,4171825,Increased body mass index,Observation,MAPS_TO,,Leo,1732998124260,
,Heavy Alcohol Consumption,-1,,0.71,APPROVED,EQUAL,Leo,1732982415087,4336673,Heavy drinker,Observation,MAPS_TO,,Leo,1732982413814,
,Lipoprotein (a),-1,,0.82,APPROVED,EQUAL,Leo,1732996957484,37167374,Lipoprotein (a) hyperlipoproteinemia,Condition,MAPS_TO,,Leo,1732996955664,
,qualitiy of life,-1,,0.58,APPROVED,EQUAL,Leo,1731583675096,4234649,Quality of life satisfaction,Observation,MAPS_TO,,<auto>,1731540324563,
,urinary incontinence,-1,,1.00,APPROVED,EQUAL,Leo,1731588044200,197672,Urinary incontinence,Condition,MAPS_TO,,<auto>,1731540324580,
,loss of blood,-1,,0.66,APPROVED,EQUAL,Leo,1732985140452,437312,Bleeding,Condition,MAPS_TO,,Leo,1732985136018,
,moderate physical activity,-1,,0.80,APPROVED,EQUAL,Leo,1733002614905,4038720,Exercises regularly,Observation,MAPS_TO,,Leo,1733002613950,
,Sleep disturbances / Obstructive Sleep Apnea,-1,,0.68,APPROVED,EQUAL,Leo,1732983023888,313459,Sleep apnea,Condition,MAPS_TO,,Leo,1731586540162,
,Sleep disturbances / Obstructive Sleep Apnea,-1,,0.68,APPROVED,EQUAL,Leo,1732983023888,435657,Dyssomnia,Condition,MAPS_TO,,Leo,1732983017622,
,lesion_location,-1,,0.33,APPROVED,EQUAL,Leo,1732984986186,4104314,Finding of lesion,Condition,MAPS_TO,,Leo,1732984980248,
,myocardial infarction,-1,,1.00,APPROVED,EQUAL,Leo,1731582966047,4329847,Myocardial infarction,Condition,MAPS_TO,,<auto>,1731540324941,
,pulmonary embolism,-1,,1.00,APPROVED,EQUAL,Leo,1731583670533,440417,Pulmonary embolism,Condition,MAPS_TO,,<auto>,1731540324953,
,urinary tract infection,-1,,1.00,APPROVED,EQUAL,Leo,1731588047781,81902,Urinary tract infectious disease,Condition,MAPS_TO,,<auto>,1731540324989,
,education,-1,,1.00,APPROVED,EQUAL,Leo,1731548081142,4268546,Education and/or schooling finding,Observation,MAPS_TO,,Leo,1731548080633,
,paralysis,-1,,1.00,APPROVED,EQUAL,Leo,1731583319047,440377,Paralysis,Condition,MAPS_TO,,<auto>,1731540325135,
,Vasculitis,-1,,1.00,APPROVED,EQUAL,Leo,1731583765010,4137275,Vasculitis,Condition,MAPS_TO,,<auto>,1731540325152,
,NIHSS_stroke,-1,,0.49,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,chronic heart failure,-1,,1.00,APPROVED,EQUAL,Leo,1731546566510,444031,Chronic heart failure,Condition,MAPS_TO,,<auto>,1731540325301,
,Atrial fibrillation,-1,,1.00,APPROVED,EQUAL,Leo,1731546300371,313217,Atrial fibrillation,Condition,MAPS_TO,,<auto>,1731540325311,
,healthy (mediterranean) diet,-1,,0.61,APPROVED,EQUAL,Leo,1731580321801,37150978,Mediterranean diet,Procedure,MAPS_TO,,<auto>,1731540325390,
,Prediabetes,-1,,1.00,APPROVED,EQUAL,Leo,1731583484591,37018196,Prediabetes,Condition,MAPS_TO,,<auto>,1731540325423,
,Takotsubo syndrome,-1,,1.00,APPROVED,EQUAL,Leo,1731587692695,40479589,Takotsubo cardiomyopathy,Condition,MAPS_TO,,<auto>,1731540325466,
,Diabetes,-1,,0.86,APPROVED,EQUAL,Leo,1731547850559,201820,Diabetes mellitus,Condition,MAPS_TO,,Leo,1731547849700,
,migraine with aura,-1,,1.00,APPROVED,EQUAL,Leo,1731582840538,381549,Migraine with aura,Condition,MAPS_TO,,<auto>,1731540325509,
,first ischemic stroke,-1,,0.80,APPROVED,EQUAL,Leo,1731580074544,4310996,Ischemic stroke,Condition,MAPS_TO,,<auto>,1731540325598,
,income,-1,,0.72,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,age,-1,,1.00,APPROVED,EQUAL,Leo,1731542579076,4322978,Age factor,Observation,MAPS_TO,,Leo,1731542575934,
,mRS_stroke,-1,,0.42,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,Smoking,-1,,0.78,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,body temperature,-1,,1.00,APPROVED,EQUAL,Leo,1732999011622,4178904,Body temperature above reference range,Condition,MAPS_TO,,Leo,1732999010285,
,present atrial fibrillation,-1,,0.84,APPROVED,INEXACT,Leo,1731583601816,313217,Atrial fibrillation,Condition,MAPS_TO,,<auto>,1731540325883,
,depression,-1,,1.00,APPROVED,EQUAL,Leo,1731547816681,440383,Depressive disorder,Condition,MAPS_TO,,<auto>,1731540325916,
,habitual alcohol consumption,-1,,0.74,APPROVED,EQUAL,Leo,1732982294751,4074035,Current drinker,Observation,MAPS_TO,,Leo,1732982293242,
,Reducing Alcohol Consumption,-1,,0.78,APPROVED,EQUAL,Leo,1731585788672,46270002,Decreased alcohol consumption,Observation,MAPS_TO,,Leo,1731585787925,
,obesity,-1,,1.00,APPROVED,EQUAL,Leo,1731583184864,433736,Obesity,Condition,MAPS_TO,,<auto>,1731540326097,
,Barthel_Index_stroke,-1,,0.35,APPROVED,EQUAL,Leo,1732916690389,4126495,Activities of daily living assessment,Procedure,MAPS_TO,,Leo,1732916688470,
,rate of thrombolysis,-1,,0.88,APPROVED,EQUAL,Leo,1733003325290,4051022,Thrombolysis of artery,Procedure,MAPS_TO,,Leo,1733003324261,
,delirium,-1,,1.00,APPROVED,EQUAL,Leo,1731547646283,373995,Delirium,Condition,MAPS_TO,,<auto>,1731540326362,
,Sex (Male),-1,,0.33,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,hyperlipoproteinemia (high LDL),-1,,0.65,APPROVED,EQUAL,Leo,1731580648164,4029305,Hypercholesterolemia,Condition,MAPS_TO,,Leo,1731580647200,
,troponin elevation,-1,,0.65,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,time_till_diagnosis,-1,,0.36,FLAGGED,EQUAL,Leo,1733008546140,0,Unmapped,,MAPS_TO,,,0,
,Hyperlipidemia,-1,,1.00,APPROVED,EQUAL,Leo,1731580562403,432867,Hyperlipidemia,Condition,MAPS_TO,,<auto>,1731540326509,
,Antihypertensive Therapy,-1,,1.00,APPROVED,EQUAL,Leo,1731542884990,4146455,Antihypertensive therapy,Procedure,MAPS_TO,,<auto>,1731540326593,
,Inflammation,-1,,1.00,APPROVED,EQUAL,Leo,1732996787706,4180169,Inflammation of specific body structures or tissue,Condition,MAPS_TO,,Leo,1732996784572,
,atherosclerosis,-1,,1.00,APPROVED,EQUAL,Leo,1733006582620,4306703,Atherosclerosis,Observation,MAPS_TO,,Leo,1733006581902,
,arterial hypertension,-1,,0.89,APPROVED,EQUAL,Leo,1731543119998,316866,Hypertensive disorder,Condition,MAPS_TO,,Leo,1731543117610,
,high blood cholesterol levels,-1,,0.63,APPROVED,EQUAL,Leo,1731580386768,4029305,Hypercholesterolemia,Condition,MAPS_TO,,<auto>,1731540326792,
,sleep apnea,-1,,1.00,APPROVED,EQUAL,Leo,1731586452617,313459,Sleep apnea,Condition,MAPS_TO,,<auto>,1731540326800,
,elevated catecholamines,-1,,0.70,APPROVED,EQUAL,Leo,1731548125604,4275208,Catecholamine level - finding,Measurement,MAPS_TO,,Leo,1731548124545,
,TOAST (etiology),-1,,0.46,APPROVED,EQUAL,Leo,1731587858703,4310996,Ischemic stroke,Condition,MAPS_TO,,Leo,1731587858054,
,CKD,-1,,0.67,APPROVED,EQUAL,Leo,1731546584802,46271022,Chronic kidney disease,Condition,MAPS_TO,,Leo,1731546584362,
,Hypertension,-1,,1.00,APPROVED,EQUAL,Leo,1731580671478,316866,Hypertensive disorder,Condition,MAPS_TO,,<auto>,1731540327167,
,stroke unit care,-1,,0.63,APPROVED,EQUAL,Leo,1731587395681,4143576,Admission to stroke unit,Observation,MAPS_TO,,Leo,1731587394856,
,rate of thrombectomy,-1,,0.88,APPROVED,EQUAL,Leo,1731585525842,4185284,Removal of thrombus,Procedure,MAPS_TO,,<auto>,1731540327436,
,sex (being male),-1,,0.36,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,Statin Therapy,-1,,1.00,APPROVED,EQUAL,Leo,1731587160015,4201029,Administration of prophylactic statin,Procedure,MAPS_TO,,<auto>,1731540327467,
,female sex,-1,,0.73,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,Cognitive dysfunction,-1,,1.00,APPROVED,EQUAL,Leo,1731546691828,443432,Impaired cognition,Condition,MAPS_TO,,<auto>,1731540327613,
,Thrombolysis,-1,,1.00,APPROVED,EQUAL,Leo,1733004905619,4051022,Thrombolysis of artery,Procedure,MAPS_TO,,Leo,1733004904457,
,BMI_t0,-1,,0.23,APPROVED,EQUAL,Leo,1732998118567,4171825,Increased body mass index,Observation,MAPS_TO,,Leo,1732998117578,
,awareness of FAST-Scheme,-1,,0.57,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,high drinking levels,-1,,0.60,APPROVED,EQUAL,Leo,1732982206658,4336673,Heavy drinker,Observation,MAPS_TO,,Leo,1732982204217,
,urinary catheter placement,-1,,0.79,APPROVED,EQUAL,Leo,1731588041772,4181165,Procedure involving urinary catheter,Procedure,MAPS_TO,,Leo,1731588041132,
,cardiac autonomic dysbalance,-1,,0.46,APPROVED,EQUAL,Leo,1734264353202,434633,Disorder of autonomic nervous system,Condition,MAPS_TO,,Leo,1734264351277,
,exercise (cardiac not excessive),-1,,0.66,APPROVED,EQUAL,Leo,1733002482403,4038720,Exercises regularly,Observation,MAPS_TO,,Leo,1733002477556,
,sex (male),-1,,0.33,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,high fat salt diet,-1,,0.85,APPROVED,INEXACT,Leo,1731580491609,4024366,High fat diet,Observation,MAPS_TO,,<auto>,1731540328400,
,arteriosklerosis,-1,,0.56,APPROVED,EQUAL,Leo,1733006573694,4103842,Arteriosclerosis,Observation,MAPS_TO,,Leo,1733006572844,
,antihypertensive medicatio,-1,,0.77,APPROVED,EQUAL,Leo,1731542883088,4146455,Antihypertensive therapy,Procedure,MAPS_TO,,<auto>,1731540328430,
,dissection,-1,,1.00,APPROVED,EQUAL,Leo,1733012286835,46272492,Dissection of artery,Condition,MAPS_TO,,Leo,1733012284728,
,Physical Inactivity,-1,,0.80,APPROVED,EQUAL,Leo,1733003190942,4038718,Gets no exercise,Observation,MAPS_TO,,Leo,1733003189101,
,acute heart failure,-1,,1.00,APPROVED,EQUAL,Leo,1731542216938,442310,Acute heart failure,Condition,MAPS_TO,,<auto>,1731540328616,
,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",-1,,0.35,APPROVED,INEXACT,Leo,1731583595347,439393,Pre-eclampsia,Condition,MAPS_TO,,Leo,1731583532345,
,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",-1,,0.35,APPROVED,INEXACT,Leo,1731583595347,42538946,Hypertension complicating pregnancy,Condition,MAPS_TO,,Leo,1731583578872,
,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",-1,,0.35,APPROVED,INEXACT,Leo,1731583595347,37018765,Gestational diabetes mellitus complicating pregnancy,Condition,MAPS_TO,,Leo,1731583585447,
,Weight Loss and Aerobic Exercise,-1,,0.72,APPROVED,EQUAL,Leo,1732980654346,4038720,Exercises regularly,Observation,MAPS_TO,,Leo,1732980627285,
,Weight Loss and Aerobic Exercise,-1,,0.72,APPROVED,EQUAL,Leo,1732980654346,4229881,Weight loss,Observation,MAPS_TO,,Leo,1732980651058,
,bladder dysfunction,-1,,1.00,APPROVED,EQUAL,Leo,1731544607964,4224118,Dysfunction of urinary bladder,Observation,MAPS_TO,,<auto>,1731540328655,
,sex(being male),-1,,0.22,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,Second-hand Smoking,-1,,0.46,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,stroke severity (e.g. measured by NIHSS),-1,,0.39,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,pneumonia,-1,,1.00,APPROVED,EQUAL,Leo,1731583426499,255848,Pneumonia,Condition,MAPS_TO,,<auto>,1731540328894,
,smoking,-1,,0.78,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,persistent foramen ovale,-1,,0.81,APPROVED,EQUAL,Leo,1731583343982,4070299,Patent foramen ovale,Condition,MAPS_TO,,<auto>,1731540329154,
,dysphagia,-1,,1.00,APPROVED,EQUAL,Leo,1731547931231,31317,Dysphagia,Condition,MAPS_TO,,<auto>,1731540329178,
,diabetes,-1,,0.86,APPROVED,EQUAL,Leo,1731547833059,201820,Diabetes mellitus,Condition,MAPS_TO,,Leo,1731547830767,
,FIRST ISCHEMIC STROKE,-1,,0.80,APPROVED,EQUAL,Leo,1731580075418,4310996,Ischemic stroke,Condition,MAPS_TO,,<auto>,1731540329253,
,Psychogenic Stress,-1,,0.86,APPROVED,EQUAL,Leo,1731583666574,4251306,Stress,Observation,MAPS_TO,,Leo,1731583657071,
,atrial fibrillation,-1,,1.00,APPROVED,EQUAL,Leo,1731546308643,313217,Atrial fibrillation,Condition,MAPS_TO,,<auto>,1731540329485,
,immunosuppression,-1,,1.00,APPROVED,EQUAL,Leo,1731581308150,4242843,Immunosuppression,Condition,MAPS_TO,,<auto>,1731540329496,
,anticoagulation,-1,,0.90,APPROVED,EQUAL,Leo,1731542786196,4056822,Anticoagulant therapy,Procedure,MAPS_TO,,Leo,1731542785158,
,post stroke epilepsy,-1,,0.69,APPROVED,EQUAL,Leo,1731583482821,37110522,Epilepsy due to cerebrovascular accident,Condition,MAPS_TO,,<auto>,1731540329596,
,higher fitness/mobility post,-1,,0.39,APPROVED,EQUAL,Leo,1733011269061,44800078,Physical fitness state,Observation,MAPS_TO,,Leo,1731580429446,
,higher fitness/mobility post,-1,,0.39,APPROVED,EQUAL,Leo,1733011269061,4199549,Able to mobilize,Observation,MAPS_TO,,Leo,1733011261972,
,hypertension,-1,,1.00,APPROVED,EQUAL,Leo,1731580670637,316866,Hypertensive disorder,Condition,MAPS_TO,,<auto>,1731540329804,
,myocardial infarction (type 1),-1,,0.69,APPROVED,EQUAL,Leo,1731582976697,604179,Myocardial infarction due to atherothrombotic coronary artery disease,Condition,MAPS_TO,,<auto>,1731540329875,
,LDL-cholesterol,-1,,0.50,APPROVED,EQUAL,Leo,1731581687810,4029305,Hypercholesterolemia,Condition,MAPS_TO,,Leo,1731581686172,
,elevated CRP,-1,,0.67,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
,atrial fibrilation,-1,,0.92,APPROVED,EQUAL,Leo,1731546307540,313217,Atrial fibrillation,Condition,MAPS_TO,,<auto>,1731540329956,
,vascular disease,-1,,1.00,APPROVED,EQUAL,Leo,1731588056139,443784,Vascular disorder,Condition,MAPS_TO,,<auto>,1731540329967,
,second ischemic stroke,-1,,0.83,APPROVED,EQUAL,Leo,1731586122554,4310996,Ischemic stroke,Condition,MAPS_TO,,<auto>,1731540329986,
,cortical involvement or strategical localisation of stroke lesion,-1,,0.41,APPROVED,EQUAL,Leo,1731547457319,4200516,Lesion of brain,Condition,MAPS_TO,,Leo,1731547456097,
,Atherosclerosis,-1,,1.00,APPROVED,EQUAL,Leo,1733006591791,4306703,Atherosclerosis,Observation,MAPS_TO,,Leo,1733006590077,
,Sympathetic activation,-1,,0.65,FLAGGED,EQUAL,Leo,1733008293494,0,Unmapped,,MAPS_TO,,,0,
,stroke lesion affecting central autonomic network,-1,,0.42,APPROVED,EQUAL,Leo,1734263715465,4200516,Lesion of brain,Condition,MAPS_TO,,Leo,1734263712814,
,Insulin Resistance / Impaired glucose metabolism,-1,,0.53,APPROVED,EQUAL,Leo,1732982864078,35622016,Insulin resistance,Condition,MAPS_TO,,Leo,1731581393644,
,Insulin Resistance / Impaired glucose metabolism,-1,,0.53,APPROVED,EQUAL,Leo,1732982864078,4130526,Disorder of glucose metabolism,Condition,MAPS_TO,,Leo,1732982833610,
,seizures,-1,,0.97,APPROVED,EQUAL,Leo,1731586142320,377091,Seizure,Condition,MAPS_TO,,<auto>,1731540330268,
,Depression,-1,,1.00,APPROVED,EQUAL,Leo,1731547817769,440383,Depressive disorder,Condition,MAPS_TO,,<auto>,1731540330319,
,blood pressure,-1,,1.00,APPROVED,EQUAL,Leo,1732997912397,316866,Hypertensive disorder,Condition,MAPS_TO,,Leo,1732997911418,
,higher fitness/mobility pre,-1,,0.40,APPROVED,EQUAL,Leo,1733011278349,44800078,Physical fitness state,Observation,MAPS_TO,,Leo,1731580433375,
,higher fitness/mobility pre,-1,,0.40,APPROVED,EQUAL,Leo,1733011278349,4199549,Able to mobilize,Observation,MAPS_TO,,Leo,1733011274798,
,metabolic syndrom,-1,,0.98,APPROVED,EQUAL,Leo,1731582297946,436940,Metabolic syndrome X,Condition,MAPS_TO,,<auto>,1731540330384,
,high fat/ high carbonhydrate diet,-1,,0.55,APPROVED,INEXACT,Leo,1731580479488,4024366,High fat diet,Observation,MAPS_TO,,Leo,1731580454858,
,high fat/ high carbonhydrate diet,-1,,0.55,APPROVED,INEXACT,Leo,1731580479488,4027011,High carbohydrate diet,Observation,MAPS_TO,,Leo,1731580464088,
,myocardial infarction (type 2),-1,,0.70,APPROVED,EQUAL,Leo,1731582977028,37309626,Myocardial infarction due to demand ischemia,Condition,MAPS_TO,,<auto>,1731540330578,
,severe arrrhythmia,-1,,0.75,APPROVED,EQUAL,Leo,1731586145910,44784217,Cardiac arrhythmia,Condition,MAPS_TO,,<auto>,1731540330619,
,hyperlipidemia,-1,,1.00,APPROVED,EQUAL,Leo,1731580562037,432867,Hyperlipidemia,Condition,MAPS_TO,,<auto>,1731540330649,
,inflammation,-1,,1.00,APPROVED,EQUAL,Leo,1732996778091,4180169,Inflammation of specific body structures or tissue,Condition,MAPS_TO,,Leo,1732996775909,
,coping mechnisms,-1,,0.72,APPROVED,EQUAL,Leo,1732999261977,4022241,Able to cope,Observation,MAPS_TO,,Leo,1732999258879,
,occurence of myocardial infarction,-1,,0.82,APPROVED,EQUAL,Leo,1731583221370,4329847,Myocardial infarction,Condition,MAPS_TO,,<auto>,1731540330733,
,infection,-1,,1.00,APPROVED,EQUAL,Leo,1731581341778,432250,Infectious disease,Condition,MAPS_TO,,<auto>,1731540330800,
,first-ever ischemic stroke occurence,-1,,0.57,APPROVED,EQUAL,Leo,1731580073670,4310996,Ischemic stroke,Condition,MAPS_TO,,<auto>,1731540331145,
