original_term,code,standardized_term,iteration_0,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12,iteration_13,iteration_14,iteration_15,iteration_16,iteration_17,iteration_18,iteration_19,iteration_20,iteration_21,iteration_22,iteration_23,iteration_24,iteration_25,iteration_26,iteration_27,iteration_28,iteration_29,iteration_30,iteration_31,iteration_32,iteration_33,iteration_34,iteration_35,iteration_36,iteration_37,iteration_38,iteration_39,iteration_40,iteration_41,iteration_42,iteration_43,iteration_44,iteration_45,iteration_46,iteration_47,iteration_48,iteration_49,iteration_50,iteration_51,iteration_52,iteration_53,iteration_54,iteration_55,iteration_56,iteration_57,iteration_58,iteration_59,iteration_60,iteration_61,iteration_62,iteration_63,iteration_64,iteration_65,iteration_66,iteration_67,iteration_68,iteration_69,iteration_70
['decreased systemic perfusion'],4176126,Organ or tissue vascular perfusion decreased,Clinical finding,Functional finding,Functional finding,Functional finding,Functional finding,Functional finding,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Decreased vascular flow,Organ or tissue vascular perfusion decreased,Organ or tissue vascular perfusion decreased
['Carotid Endarterectomy / Angioplasty / stenting'],4178631,Angioplasty of carotid artery,Procedure,Procedure,Procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Vascular surgery procedure,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery,Angioplasty of carotid artery
"['vessel stenosis/occlusion', 'occlusion of a blood vessel']",4178903,Complete obstruction,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Mechanical lesion,Mechanical lesion,Mechanical lesion,Mechanical lesion,Mechanical lesion,Mechanical lesion,Mechanical lesion,Mechanical lesion,Mechanical lesion,Mechanical lesion,Mechanical lesion,Mechanical lesion,Mechanical lesion,Mechanical lesion,Mechanical lesion,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction,Complete obstruction
['body temperature'],4178904,Body temperature above reference range,Clinical finding,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range,Body temperature above reference range
"['Inflammation', 'inflammation']",4180169,Inflammation of specific body structures or tissue,Clinical finding,Finding by site,Finding by site,Finding by site,Disorder by body site,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue,Inflammation of specific body structures or tissue
['Neurological Sequalae'],4180770,Sequelae of neurological disorders,Clinical finding,Disease,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders,Sequelae of neurological disorders
['urinary catheter placement'],4181165,Procedure involving urinary catheter,Procedure,Procedure,Procedure,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter,Procedure involving urinary catheter
['Low-Moderate Alcohol Consumption'],4183729,Moderate drinker,Clinical finding,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Current drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker,Moderate drinker
['Second-hand Smoking'],4184633,Passive smoker,Clinical finding,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Finding of tobacco use and exposure,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker,Passive smoker
['rate of thrombectomy'],4185284,Removal of thrombus,Procedure,Procedure,Procedure,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal,Removal of thrombus,Removal of thrombus,Removal of thrombus,Removal of thrombus,Removal of thrombus,Removal of thrombus,Removal of thrombus,Removal of thrombus,Removal of thrombus,Removal of thrombus,Removal of thrombus,Removal of thrombus,Removal of thrombus,Removal of thrombus,Removal of thrombus,Removal of thrombus
['Embolism'],4185607,Embolism,Clinical finding,Finding by site,Finding by site,Finding by site,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,General finding of soft tissue,Vascular disorder,Vascular disorder,Vascular disorder,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism,Embolism
['nt-pro-BNP'],4186398,N-terminal pro-B-type natriuretic peptide,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Substance,Drug or medicament,Drug or medicament,Drug or medicament,Drug or medicament,Drug or medicament,Drug or medicament,Drug or medicament,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide,N-terminal pro-B-type natriuretic peptide
['vulnerable plaques'],4192115,Complicated atheromatous plaque,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Morphologically abnormal structure,Vascular sclerosis,Vascular sclerosis,Vascular sclerosis,Vascular sclerosis,Vascular sclerosis,Vascular sclerosis,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque,Complicated atheromatous plaque
['endarterectomy'],4194238,Endarterectomy,Procedure,Procedure,Procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Surgical procedure,Vascular surgery procedure,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy,Endarterectomy
['secondary prevention'],4196427,Secondary prevention,Procedure,Procedure,Procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Preventive procedure,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention,Secondary prevention
"['higher fitness/mobility post', 'higher fitness/mobility pre']",4199549,Able to mobilize,Clinical finding,Functional finding,Functional finding,Functional finding,Functional finding,Functional finding,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Finding related to ability to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize,Able to mobilize
['cortical involvement or strategical localisation of stroke lesion'],4200516,Lesion of brain,Clinical finding,Finding by site,Finding by site,Finding by site,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain,Lesion of brain
"['statin use', 'Statins', 'Statin Therapy']",4201029,Administration of prophylactic statin,Procedure,Procedure,Procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Introduction procedure,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Administration of medication,Drug therapy,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin,Administration of prophylactic statin
