Author,Exposure,Outcome,Direction,Strength,ID,Status
,Body mass index,Ischemic stroke,Increase,6.84,9,Final
,Atrial fibrillation,Ischemic stroke,Increase,6.84,9,Final
,Body mass index,Ischemic stroke,Increase,6.84,9,Final
,Essential hypertension,Ischemic stroke,Increase,6.84,9,Final
,Essential hypertension,Ischemic stroke,Increase,6.84,9,Final
,Age factor,Essential hypertension,Increase,6.84,9,Final
,Age factor,Tobacco smoking behavior - finding,Decrease,2.93,9,Final
,Ischemic stroke,Stroke unit,Increase,6.84,9,Final
,Hyperlipidemia,Ischemic stroke,Increase,6.84,9,Final
Jauch et al. (2013),Diabetes mellitus,Ischemic stroke,Increase,6.84,9,Final
,Ischemic stroke,Blood glucose level - finding,Increase,6.0,9,Final
Khoury et al. (2013),Diabetes mellitus,Blood glucose level - finding,Increase,6.0,9,Final
Jauch et al. (2013),Age factor,Diabetes mellitus,Increase,2.68,9,Final
,Body mass index,Diabetes mellitus,Increase,2.68,9,Final
,Male,Tobacco smoking behavior - finding,Increase,2.68,9,Final
Langhorne et al. (2020),Stroke unit,Mortality rate,Decrease,4.71,9,Final
Langhorne et al. (2020),Stroke unit,Disability,Decrease,4.17,9,Final
Touzé et al. (2005),Ischemic stroke,Myocardial infarction,Increase,1.0,9,Final
,Myocardial infarction,Mortality rate,Increase,6.0,9,Final
Sulter et al. (2000),Ischemic stroke,Hemoglobin saturation with oxygen,Decrease,5.0,9,Final
Rowat et al. (2006),Patient position,Hemoglobin saturation with oxygen,Increase,0.51,9,Final
Rowat et al. (2001),Pneumonia,Hemoglobin saturation with oxygen,Decrease,6.84,9,Final
,Age factor,Hemoglobin saturation with oxygen,Decrease,0.51,9,Final
Sulter et al. (2000),Dysphagia,Hemoglobin saturation with oxygen,Decrease,0.51,9,Final
Sulter et al. (2000),Hemoglobin saturation with oxygen,Mortality rate,Decrease,0.51,9,Final
Rowat et al. (2006),Ischemic stroke,Patient dependence on,Increase,6.0,9,Final
,Disability,Patient dependence on,Increase,6.0,9,Final
,Dysphagia,Patient dependence on,Increase,2.68,9,Final
Martino et al. (2005),Ischemic stroke,Urinary incontinence,Increase,2.68,9,Final
Nakayama et al. (1997),Age factor,Urinary incontinence,Increase,2.68,9,Final
Nakayama et al. (1997),Urinary incontinence,Patient dependence on,Increase,2.68,9,Final
Patel et al. (2001),Diabetes mellitus,Urinary incontinence,Increase,0.51,9,Final
,Urinary incontinence,Procedure involving urinary catheter,Increase,0.51,9,Final
,Ischemic stroke,Paralysis,Increase,6.84,9,Final
,Paralysis,Disability,Increase,6.84,9,Final
,Paralysis,Patient dependence on,Increase,6.84,9,Final
,Ischemic stroke,Deep venous thrombosis,Increase,6.84,9,Final
Kappelle et al. (2011),Paralysis,Deep venous thrombosis,Increase,6.84,9,Final
Kappelle et al. (2011),Deep venous thrombosis,Pulmonary embolism,Increase,6.84,9,Final
,Pulmonary embolism,Mortality rate,Increase,6.84,9,Final
,Pulmonary embolism,Hemoglobin saturation with oxygen,Decrease,6.84,9,Final
,Paralysis,Pneumonia,Increase,2.0,9,Final
,Ischemic stroke,Falls,Increase,6.0,9,Final
Wei et al. (2019),Age factor,Falls,Increase,2.68,9,Final
,Urinary incontinence,Falls,Increase,2.68,9,Final
,Delirium,Falls,Increase,2.68,9,Final
,Falls,Fracture of bone,Increase,2.0,9,Final
Melton et al. (2001),Ischemic stroke,Fracture of bone,Increase,2.68,9,Final
Kanis et al. (2001),Fracture of bone,Disability,Increase,0.51,9,Final
,Fracture of bone,Patient dependence on,Increase,0.51,9,Final
,Exercise,Ischemic stroke,Increase,6.84,9,Final
low or very high,Alcohol consumption unknown,Ischemic stroke,Increase,3.84,9,Final
,Atherosclerosis,Ischemic stroke,Increase,6.0,9,Final
,Hyperlipidemia,Ischemic stroke,Increase,6.0,9,Final
,Alcohol consumption unknown,Ischemic stroke,Increase,3.0,9,Final
,Exercise,Ischemic stroke,Increase,6.0,9,Final
,Education and/or schooling finding,Ischemic stroke,Decrease,1.0,9,Final
Reshetnyak et al. (2020),Financial circumstances - finding,Ischemic stroke,Decrease,1.0,9,Final
Reshetnyak et al. (2020),Social isolation,Ischemic stroke,Increase,0.51,9,Final
Reshetnyak et al. (2020),Transient cerebral ischemia,Ischemic stroke,Increase,6.84,9,Final
O'Donnell et al. 2016,Tobacco smoking behavior - finding,Ischemic stroke,Increase,6.84,10,Final
O'Donnell et al. 2016,Diabetes mellitus,Ischemic stroke,Increase,6.84,10,Final
O'Donnell et al. 2016,Exercise,Ischemic stroke,Decrease,6.84,10,Final
,Exercise,Diabetes mellitus,Decrease,6.84,10,Final
"O'Donnell et al. 2016, Paterson et al. 2018",Mediterranean diet,Ischemic stroke,Decrease,6.84,10,Final
,Mediterranean diet,Diabetes mellitus,Decrease,3.92,10,Final
"Ebrahim et al., 2006",Hypercholesterolemia,Ischemic stroke,Increase,6.0,10,Final
,Atrial fibrillation,Ischemic stroke,Increase,6.84,10,Final
,Dissection of cerebral artery,Ischemic stroke,Increase,6.84,10,Final
,Atherosclerosis,Ischemic stroke,Increase,6.84,10,Final
,Hypercholesterolemia,Atherosclerosis,Increase,6.84,10,Final
,FH: Cardiovascular disease,Ischemic stroke,Increase,6.84,10,Final
,Stenosis of cerebral artery,Ischemic stroke,Increase,4.17,10,Final
,Atherosclerosis,Stenosis of cerebral artery,Increase,6.84,10,Final
,Dissection of cerebral artery,Stenosis of cerebral artery,Increase,6.84,10,Final
In patients where no other risk factors are found and the PFO shows a right-->left shunt and shows a hypermobile septum,Patent foramen ovale,Ischemic stroke,Increase,3.52,10,Final
Bushnell at el. 2014,Uses oral contraception,Ischemic stroke,Increase,3.0,10,Final
in women with other cardiovascular risk factors or vessels that are sensitive to homonal changes,Depressive disorder,Ischemic stroke,Increase,3.0,10,Final
"O'Donnell et al., 2010",Antidepressant,Ischemic stroke,Increase,3.52,10,Final
,Depressive disorder,Antidepressant,Increase,3.52,10,Final
,Platelet aggregation inhibitor therapy,Ischemic stroke,Decrease,6.0,10,Final
In patients with high cardiovascular risk profile,Administration of prophylactic statin,Ischemic stroke,Decrease,6.84,10,Final
"In patients with high cardiovascular risk profile, especially high LDL-Cholesterine",Administration of prophylactic statin,Hypercholesterolemia,Decrease,6.0,10,Final
"Law et al., 2003",Ischemic stroke,Ischemic stroke,Increase,6.0,10,Final
"Khanevski et al., 2019",Age factor,Hypercholesterolemia,Increase,4.34,10,Final
,Age factor,Atrial fibrillation,Increase,6.84,10,Final
,Age factor,Patent foramen ovale,Decrease,3.68,10,Final
,Age factor,Ischemic stroke,Increase,6.84,10,Final
,Essential hypertension,Ischemic stroke,Increase,6.84,10,Final
O'Donnell et al 2016,Age factor,Death,Increase,6.0,10,Final
,Age factor,Essential hypertension,Increase,6.84,10,Final
,Age factor,Ischemic stroke,Increase,6.0,10,Final
"Khanevski et al., 2019",Tobacco smoking behavior - finding,Ischemic stroke,Increase,6.84,10,Final
,Diabetes mellitus,Ischemic stroke,Increase,6.84,10,Final
,Hypercholesterolemia,Ischemic stroke,Increase,6.84,10,Final
,Exercise,Ischemic stroke,Decrease,6.84,10,Final
,Mediterranean diet,Ischemic stroke,Decrease,6.84,10,Final
,Atrial fibrillation,Ischemic stroke,Increase,6.84,10,Final
,Dissection of cerebral artery,Ischemic stroke,Increase,6.84,10,Final
,Atherosclerosis,Ischemic stroke,Increase,6.84,10,Final
,FH: Cardiovascular disease,Ischemic stroke,Increase,3.6,10,Final
,Stenosis of cerebral artery,Ischemic stroke,Increase,3.6,10,Final
,Platelet aggregation inhibitor therapy,Ischemic stroke,Decrease,6.0,10,Final
Kernan et al. 2014,Administration of prophylactic statin,Ischemic stroke,Decrease,6.0,10,Final
"Amarenco et al., 2020",Ischemic stroke,Epilepsy due to cerebrovascular accident,Increase,5.31,10,Final
Browne and Holmes 2001,Ischemic stroke,Epilepsy due to cerebrovascular accident,Increase,6.84,10,Final
Browne and Holmes 2001,National Institutes of Health stroke scale,Epilepsy due to cerebrovascular accident,Increase,6.0,10,Final
"Slapo et al., 2006",Epilepsy due to cerebrovascular accident,Functional assessment,Increase,4.0,10,Final
Arntz et al. 2013,National Institutes of Health stroke scale,Functional assessment,Increase,4.26,10,Final
Arntz et al. 2013,Body mass index,Ischemic stroke,Increase,5.76,10,Final
,Body mass index,Ischemic stroke,Increase,5.76,10,Final
"Kernan et al., 2014 (AHA/ASA Guideline)",Sleep apnea,Ischemic stroke,Increase,5.76,10,Final
"Kernan et al., 2014 (AHA/ASA Guideline)",Sleep apnea,Ischemic stroke,Increase,5.76,10,Final
"Kernan et al., 2014 (AHA/ASA Guideline)",Body mass index,Sleep apnea,Increase,3.29,10,Final
"Kernan et al., 2014 (AHA/ASA Guideline)",Use of anticoagulation,Ischemic stroke,Decrease,6.84,10,Final
,Use of anticoagulation,Ischemic stroke,Decrease,6.84,10,Final
Kernan et al. 2014 (for some patients patients with atrial fibrillation and some patients with thrombophilia),Socioeconomic status - Low,Death,Increase,4.43,10,Final
Kernan et al. 2014 (for patients patients with atrial fibrillation and some patients with thrombophilia),Epilepsy due to cerebrovascular accident,Death,Increase,6.26,10,Final
"Vivanco-Hidalgo et al., 2019",Essential hypertension,Ischemic stroke,Increase,6.0,10,Final
Arrich et al. 2005,Essential hypertension,Atherosclerosis,Increase,5.53,10,Final
Burneo et al. 2009,Male,Uses oral contraception,Increase,4.52,10,Final
"Khanevsky et al., 2019",Male,Depressive disorder,Increase,4.52,10,Final
,Male,Ischemic stroke,Decrease,4.43,10,Final
,Male,Ischemic stroke,Decrease,4.43,10,Final
Bushnell et al. 2014,Male,Migraine with aura,Increase,4.43,10,Final
Bushnell et al. 2014,Migraine with aura,Ischemic stroke,Increase,4.43,10,Final
Bushnell et al. 2014,Migraine with aura,Ischemic stroke,Increase,3.84,10,Final
Bushnell et al. 2014,Male,Essential hypertension,Increase,3.84,10,Final
Bushnell et al. 2014,Uses oral contraception,Ischemic stroke,Increase,4.08,10,Final
Bushnell et al. 2014,Pregnancy-induced hypertension,Ischemic stroke,Increase,4.08,10,Final
Bushnell et al. 2014,Pregnancy-induced hypertension,Ischemic stroke,Increase,4.08,10,Final
Bushnell et al. 2014,Pregnancy-induced hypertension,Essential hypertension,Increase,4.08,10,Final
Bushnell et al. 2014,Pregnancy-induced hypertension,Diabetes mellitus,Increase,4.08,10,Final
Bushnell et al. 2014,Male,Pregnancy-induced hypertension,Increase,6.84,10,Final
Bushnell et al. 2014,Exercise,Body mass index,Decrease,6.84,10,Final
Bushnell et al. 2014,Mediterranean diet,Body mass index,Decrease,6.84,10,Final
Bushnell et al. 2014,National Institutes of Health stroke scale,Death,Increase,6.84,10,Final
,Ischemic stroke,Death,Increase,6.26,10,Final
,Ischemic stroke,Death,Increase,6.26,10,Final
,Depressive disorder,Death,Increase,5.53,10,Final
"Khanevski et al., 2019",Exercise,Migraine with aura,Decrease,4.17,10,Final
"Khanevski et al., 2019",Mediterranean diet,Death,Decrease,5.42,10,Final
,Body mass index,Death,Increase,5.42,10,Final
,Tobacco smoking behavior - finding,Death,Increase,5.42,10,Final
"Bushnell et al., 2014",Exercise,Death,Decrease,5.42,10,Final
"Bushnell et al., 2014",Atrial fibrillation,Death,Increase,5.42,10,Final
"Bushnell et al., 2014",Atrial fibrillation,National Institutes of Health stroke scale,Increase,6.84,10,Final
"Bushnell et al., 2014",Atrial fibrillation,Use of anticoagulation,Increase,6.84,10,Final
"Goldstein et al., 2011",Atherosclerosis,Platelet aggregation inhibitor therapy,Increase,6.84,10,Final
"Goldstein et al., 2011",Stenosis of cerebral artery,Platelet aggregation inhibitor therapy,Increase,6.84,10,Final
,Tobacco smoking behavior - finding,Atherosclerosis,Increase,6.84,10,Final
,Tobacco smoking behavior - finding,Stenosis of cerebral artery,Increase,6.84,10,Final
,Sleep apnea,Essential hypertension,Increase,4.52,10,Final
,Diabetes mellitus,Essential hypertension,Increase,4.52,10,Final
,Socioeconomic status - Low,Tobacco smoking behavior - finding,Increase,4.0,10,Final
,Socioeconomic status - Low,Essential hypertension,Increase,4.08,10,Final
,Socioeconomic status - Low,Mediterranean diet,Decrease,4.08,10,Final
Marshall et al. 2015,Socioeconomic status - Low,Exercise,Decrease,4.08,10,Final
Marshall et al. 2015,Socioeconomic status - Low,Ischemic stroke,Increase,4.08,10,Final
Marshall et al. 2015,Socioeconomic status - Low,Ischemic stroke,Increase,4.08,10,Final
Marshall et al. 2015,Socioeconomic status - Low,Depressive disorder,Increase,5.53,10,Final
Marshall et al. 2015,Site of lesion - Structure of cerebral cortex,Functional assessment,Increase,5.53,10,Final
Marshall et al. 2015,Site of lesion - Structure of cerebral cortex,Epilepsy due to cerebrovascular accident,Increase,5.53,10,Final
Lorant et al. 2013,Ischemic stroke,Functional assessment,Increase,5.0,10,Final
"Asplund et al, Stroke 2009",Age factor,Ischemic stroke,Increase,6.0,11,Final
40:2319-2326,Male,Ischemic stroke,Increase,5.0,11,Final
"Bushnell et al., JCBF2018",Essential hypertension,Ischemic stroke,Increase,5.0,11,Final
38: 2179–2191)postmenopausal vs premenopausal,Metabolic syndrome X,Ischemic stroke,Increase,6.0,11,Final
"Cipolla et al., JCBF2018",Inflammation,Ischemic stroke,Increase,6.0,11,Final
38:2129-2149,Inflammation,Blood-brain barrier - Disruption,Increase,6.0,11,Final
"includes diabetes, hyperlipoproteinemia, obesity (Sol M Rodriguez-Colon, stroke 2009",Blood-brain barrier - Disruption,Ischemic stroke,Increase,6.0,11,Final
40:200-205),Metabolic syndrome X,Leuko-araiosis,Increase,6.0,11,Final
"Bernardo-Castro et al., Front Neurol 2020",Leuko-araiosis,Ischemic stroke,Increase,6.0,11,Final
doi: 10.3389/fneur.2020.594672,Exercise,Ischemic stroke,Decrease,0.51,11,Final
"Bernardo-Castro et al., Front Neurol 2020",Exercise,Metabolic syndrome X,Decrease,0.51,11,Final
doi: 10.3389/fneur.2020.594672,Exercise,Essential hypertension,Decrease,0.51,11,Final
"Bernardo-Catro et al., 2020",Essential hypertension,Leuko-araiosis,Increase,4.8,11,Final
"Frey et al, Front Neurol 2019",Tobacco smoking behavior - finding,Ischemic stroke,Increase,5.31,11,Final
doi: 10.3389/fneur.2019.00238,Tobacco smoking behavior - finding,Leuko-araiosis,Increase,5.0,11,Final
"Ryu et al., Brain 2017 doi: 10.1093/brain/aww259",Atherosclerosis,Leuko-araiosis,Increase,6.0,11,Final
,Metabolic syndrome X,Atherosclerosis,Increase,6.0,11,Final
,Atherosclerosis,Ischemic stroke,Increase,6.0,11,Final
,Disorder of cardiac function,Ischemic stroke,Increase,6.0,11,Final
120 versus 135 systolic blood pressure,Disorder of cardiac function,Leuko-araiosis,Increase,6.54,11,Final
,Atherosclerosis,Stenosis,Increase,6.0,11,Final
"Power et al., Neurology 2015",Stenosis,Leuko-araiosis,Increase,6.13,11,Final
84:841-848,Stenosis,Ischemic stroke,Increase,6.0,11,Final
,Atherosclerosis,Complicated atheromatous plaque,Increase,3.0,11,Final
"Sun et al., Sci Rep 2016 doi: 10.1038/srep33246",Complicated atheromatous plaque,Ischemic stroke,Increase,6.0,11,Final
"Famakin et al., Stroke 2009 doi: 10.1161/STROKEAHA.108.546150",Complicated atheromatous plaque,Leuko-araiosis,Increase,6.84,11,Final
"myocardial infarction, coronary heart disease, cardiac failure Folsom et al., Stroke 2013",Endarterectomy,Complicated atheromatous plaque,Decrease,1.0,11,Final
44:961-967,Endarterectomy,Stenosis,Decrease,2.0,11,Final
"myocardial infarction, coronary heart disease, cardiac failure",Finding of renal function,Ischemic stroke,Increase,3.0,11,Final
"Hoshino et al., Jama Neurol 2018 doi: 10.1001/jamaneurol.2017.3960",Finding of renal function,Leuko-araiosis,Increase,5.0,11,Final
,Metabolic syndrome X,Finding of renal function,Increase,6.0,11,Final
"Adams et al., Stroke 1993",Structure of perivascular space,Ischemic stroke,Increase,4.0,11,Final
24:35-41,Silent micro-hemorrhage of brain,Leuko-araiosis,Increase,6.0,11,Final
,Pre-eclampsia,Ischemic stroke,Increase,6.84,11,Final
"Kassem et al., Ann Transl Med 2020 doi: 10.21037/atm-2020-cass-16",Race,Ischemic stroke,Increase,6.68,11,Final
,Pre-eclampsia,Essential hypertension,Increase,6.0,11,Final
"Cochrane Database Syst Rev. 2020, doi: 10.1002/14651858.CD000515.pub",Genetic predisposition,Ischemic stroke,Increase,5.53,11,Final
,Inflammation,Leuko-araiosis,Increase,6.13,11,Final
"Kelley et al., Stroke 2020 doi: 10.1161/STROKEAHA.120.030045",Infectious disease,Ischemic stroke,Increase,5.2,11,Final
"Kim et al., Sci Rep 2019 doi: 10.1038/s41598-019-45109-y",Infectious disease,Inflammation,Increase,5.42,11,Final
,Inflammation,Blood coagulation disorder,Increase,5.42,11,Final
"Ballerini et al., Neuroimage Clin 2020 doi: 10.1016/j.nicl.2019.102120",Blood coagulation disorder,Ischemic stroke,Increase,6.84,11,Final
,Ischemic stroke,Ischemic stroke,Increase,6.39,13,Draft
,Atherosclerosis,Ischemic stroke,Increase,5.0,13,Draft
,Atherosclerosis,Ischemic stroke,Increase,5.0,13,Draft
,Atrial fibrillation,Ischemic stroke,Increase,4.26,13,Draft
,Atrial fibrillation,Ischemic stroke,Increase,4.26,13,Draft
,Malignant neoplastic disease,Ischemic stroke,Increase,4.08,13,Draft
,Vasculitis,Ischemic stroke,Increase,5.2,13,Draft
,Vasculitis,Ischemic stroke,Increase,5.2,13,Draft
,Malignant neoplastic disease,Ischemic stroke,Increase,5.2,13,Draft
,Chemotherapy,Ischemic stroke,Increase,5.2,13,Draft
,Chemotherapy,Ischemic stroke,Increase,5.2,13,Draft
,Malignant neoplastic disease,Chemotherapy,Increase,5.2,13,Draft
,Cerebral venous sinus thrombosis,Ischemic stroke,Increase,5.2,13,Draft
,Cerebral venous sinus thrombosis,Ischemic stroke,Increase,5.2,13,Draft
,Age factor,Ischemic stroke,Increase,5.2,13,Draft
,Age factor,Ischemic stroke,Increase,5.2,13,Draft
,Age factor,Atherosclerosis,Increase,5.2,13,Draft
,Tobacco smoking behavior - finding,Atherosclerosis,Increase,5.2,13,Draft
,Tobacco smoking behavior - finding,Ischemic stroke,Increase,5.2,13,Draft
,Tobacco smoking behavior - finding,Ischemic stroke,Increase,5.2,13,Draft
,Dyslipidemia,Ischemic stroke,Increase,5.2,13,Draft
,Dyslipidemia,Ischemic stroke,Increase,5.2,13,Draft
,Dyslipidemia,Atherosclerosis,Increase,5.2,13,Draft
,Diabetes mellitus,Atherosclerosis,Increase,5.2,13,Draft
,Diabetes mellitus,Ischemic stroke,Increase,5.2,13,Draft
,Diabetes mellitus,Ischemic stroke,Increase,5.2,13,Draft
,Age factor,Atrial fibrillation,Increase,4.08,13,Draft
,Age factor,Malignant neoplastic disease,Increase,4.08,13,Draft
,Male,Cerebral venous sinus thrombosis,Increase,4.08,13,Draft
,Male,Ischemic stroke,Increase,4.08,13,Draft
,Male,Ischemic stroke,Increase,4.08,13,Draft
,Pregnancy,Cerebral venous sinus thrombosis,Increase,4.08,13,Draft
,Male,Pregnancy,Increase,6.84,13,Draft
,Ischemic stroke,Disability,Increase,6.84,13,Draft
,Ischemic stroke,Disability,Increase,6.84,13,Draft
,Malignant neoplastic disease,Disability,Increase,6.84,13,Draft
,Vasculitis,Disability,Increase,6.84,13,Draft
,Diabetes mellitus,Disability,Increase,6.84,13,Draft
,Essential hypertension,Atherosclerosis,Increase,5.1,13,Draft
,Essential hypertension,Ischemic stroke,Increase,5.1,13,Draft
,Essential hypertension,Ischemic stroke,Increase,5.1,13,Draft
,Essential hypertension,Disability,Increase,5.1,13,Draft
,Age factor,Essential hypertension,Increase,5.1,13,Draft
,Tobacco smoking behavior - finding,Essential hypertension,Increase,5.1,13,Draft
,Pregnancy,Diabetes mellitus,Increase,5.1,13,Draft
,Ischemic stroke,Depressive disorder,Increase,5.1,13,Draft
,Ischemic stroke,Depressive disorder,Increase,5.1,13,Draft
,Malignant neoplastic disease,Depressive disorder,Increase,5.1,13,Draft
,Ischemic stroke,Cognitive function finding,Decrease,5.1,13,Draft
,Ischemic stroke,Cognitive function finding,Decrease,5.1,13,Draft
,Ischemic stroke,Quality of life satisfaction,Decrease,5.1,13,Draft
,Ischemic stroke,Quality of life satisfaction,Decrease,5.1,13,Draft
,Depressive disorder,Quality of life satisfaction,Decrease,5.1,13,Draft
,Diabetes mellitus,Quality of life satisfaction,Decrease,5.1,13,Draft
,Vasculitis,Quality of life satisfaction,Decrease,5.1,13,Draft
,Disability,Quality of life satisfaction,Decrease,5.1,13,Draft
,Pregnancy,Depressive disorder,Increase,5.1,13,Draft
,Ischemic stroke,Mobility,Decrease,5.1,13,Draft
,Ischemic stroke,Mobility,Decrease,2.65,13,Draft
,Disability,Mobility,Decrease,2.65,13,Draft
,Depressive disorder,Mobility,Decrease,2.65,13,Draft
,Malignant neoplastic disease,Quality of life satisfaction,Decrease,2.65,13,Draft
,Age factor,Mobility,Decrease,3.0,13,Draft
,Pregnancy,Mobility,Decrease,0.57,13,Draft
,Endocarditis,Ischemic stroke,Increase,0.57,13,Draft
,Endocarditis,Ischemic stroke,Increase,0.57,13,Draft
,Endocarditis,Ischemic stroke,Increase,5.1,13,Draft
,Endocarditis,Disability,Increase,5.1,13,Draft
,Patent foramen ovale,Ischemic stroke,Increase,5.64,13,Draft
,Patent foramen ovale,Ischemic stroke,Increase,5.64,13,Draft
,Hypercoagulability state,Ischemic stroke,Increase,4.61,13,Draft
,Hypercoagulability state,Ischemic stroke,Increase,4.61,13,Draft
,Hypercoagulability state,Cerebral venous sinus thrombosis,Increase,4.61,13,Draft
,Malignant neoplastic disease,Hypercoagulability state,Increase,4.61,13,Draft
,Pregnancy,Hypercoagulability state,Increase,4.61,13,Draft
,Tobacco smoking behavior - finding,Hypercoagulability state,Increase,3.0,13,Draft
,Congenital malformation,Ischemic stroke,Increase,1.4,13,Draft
,Congenital malformation,Ischemic stroke,Increase,1.4,13,Draft
,Percutaneous transluminal procedure on blood vessel,Ischemic stroke,Increase,5.88,13,Draft
,Percutaneous transluminal procedure on blood vessel,Ischemic stroke,Increase,5.88,13,Draft
,Atherosclerosis,Percutaneous transluminal procedure on blood vessel,Increase,5.88,13,Draft
,Endocarditis,Percutaneous transluminal procedure on blood vessel,Increase,1.69,13,Draft
,Pregnancy,Chemotherapy,Decrease,3.14,13,Draft
,Neurosurgery,Ischemic stroke,Increase,3.14,13,Draft
,Neurosurgery,Ischemic stroke,Increase,4.34,13,Draft
,Malignant neoplastic disease,Neurosurgery,Increase,4.34,13,Draft
,Congenital malformation,Neurosurgery,Increase,3.14,13,Draft
,Migraine,Ischemic stroke,Increase,4.17,14,Draft
,Migraine,Tobacco smoking behavior - finding,Decrease,4.52,14,Draft
,Body mass index,Ischemic stroke,Increase,6.0,14,Draft
,Essential hypertension,Atherosclerosis,Increase,6.0,14,Draft
,Body mass index,Essential hypertension,Increase,6.84,14,Draft
,Low blood pressure,Hypoperfusion,Increase,6.84,14,Draft
,Acute heart failure,Hypoperfusion,Increase,6.84,14,Draft
,Blood loss status,Hypoperfusion,Increase,6.84,14,Draft
,Cerebral artery occlusion,Ischemic stroke,Increase,6.84,14,Draft
,Hypoperfusion,Cerebral artery occlusion,Increase,6.84,14,Draft
,Stenosis,Cerebral artery occlusion,Increase,6.84,14,Draft
,Cerebral artery occlusion,Cerebral artery occlusion,Increase,6.84,14,Draft
,Non-atherosclerotic abnormalities,Ischemic stroke,Increase,6.84,14,Draft
,Dissection of artery,Non-atherosclerotic abnormalities,Increase,6.84,14,Draft
,COVID-19,Ischemic stroke,Increase,6.84,14,Draft
,Fibromuscular dysplasia,Non-atherosclerotic abnormalities,Increase,6.84,14,Draft
,Vasculitis,Non-atherosclerotic abnormalities,Increase,6.84,14,Draft
,Moyamoya disease,Non-atherosclerotic abnormalities,Increase,6.84,14,Draft
,Sickling disorder due to hemoglobin S - Generalized atherosclerosis,Non-atherosclerotic abnormalities,Increase,6.84,14,Draft
,Ischemic stroke,Reactive Oxygen Species production,Increase,6.84,14,Draft
,Reactive Oxygen Species production,DNA damage,Increase,6.84,14,Draft
,Ischemic stroke,Loss of brain structural integrity,Increase,6.84,14,Draft
,Female sex hormones - serum level - finding,Migraine,Increase,6.84,14,Draft
,Female sex hormones - serum level - finding,COVID-19,Decrease,3.37,14,Draft
,Atherosclerosis,Ischemic stroke,Increase,6.84,14,Draft
,Age factor,DNA damage,Increase,6.84,14,Draft
,Age factor,Migraine,Decrease,6.84,14,Draft
,Age factor,Essential hypertension,Increase,6.84,14,Draft
,Reactive Oxygen Species production,Structure of endothelium tissue - Disease,Increase,6.84,14,Draft
,Hypercholesterolemia,Structure of endothelium tissue - Disease,Increase,6.84,14,Draft
,Tobacco smoking behavior - finding,Structure of endothelium tissue - Disease,Increase,6.84,14,Draft
,Diabetes mellitus,Structure of endothelium tissue - Disease,Increase,6.84,14,Draft
,Essential hypertension,Structure of endothelium tissue - Disease,Increase,6.84,14,Draft
"Harrison Internal Med., 2020",Embolism,Ischemic stroke,Increase,6.0,16,Final
"Harrison Internal Med., 2020",Thrombosis,Ischemic stroke,Increase,4.61,16,Final
"Harrison Internal Med., 2020",Lacunar infarction,Thrombosis,Increase,4.61,16,Final
"Harrison Internal Med., 2020",Atrial fibrillation,Embolism,Increase,4.61,16,Final
"Harrison Internal Med., 2020",Atherosclerosis,Thrombosis,Increase,4.61,16,Final
"Harrison Internal Med., 2020",Male,Atherosclerosis,Increase,4.61,16,Final
"Harrison Internal Med., 2020",Age factor,Atherosclerosis,Increase,4.61,16,Final
"Harrison Internal Med., 2020",Tobacco smoking behavior - finding,Atherosclerosis,Increase,4.61,16,Final
"Harrison Internal Med., 2020",Diabetes mellitus,Atherosclerosis,Increase,4.61,16,Final
"Harrison Internal Med., 2020",Dyslipidemia,Atherosclerosis,Increase,4.0,16,Final
"Harrison Internal Med., 2020",Essential hypertension,Atherosclerosis,Increase,4.61,16,Final
"Harrison Internal Med., 2020",Dissection of artery,Ischemic stroke,Increase,4.61,16,Final
"Harrison Internal Med., 2020",Essential hypertension,Lacunar infarction,Increase,4.61,16,Final
"Harrison Internal Med., 2020",Age factor,Lacunar infarction,Increase,4.61,16,Final
"Harrison Internal Med., 2020",Hypercoagulability state,Thrombosis,Increase,4.61,16,Final
"Harrison Internal Med., 2020",Vasculitis,Ischemic stroke,Increase,4.61,16,Final
,Cardiac remodeling,Atrial fibrillation,Increase,4.61,16,Final
,Age factor,Cardiac remodeling,Increase,4.61,16,Final
,Essential hypertension,Cardiac remodeling,Increase,4.61,16,Final
,Heart disease,Cardiac remodeling,Increase,4.61,16,Final
,Atherosclerosis,Heart disease,Increase,4.61,16,Final
"Harrison Internal Med., 2020",Atherosclerosis,Myocardial infarction,Increase,4.61,16,Final
,Myocardial infarction,Cardiac remodeling,Increase,4.61,16,Final
"Harrison Internal Med., 2020",At increased risk from passive smoking,Atherosclerosis,Increase,4.61,16,Final
,Insulin resistance,Diabetes mellitus,Increase,4.0,16,Final
"Kernan, 2002",Insulin resistance,Atherosclerosis,Increase,4.0,16,Final
"Kernan, 2002",Age factor,Insulin resistance,Increase,4.0,16,Final
,Exercise,Body mass index,Decrease,4.61,16,Final
Kernan et al. 2002,Insulin resistance,Essential hypertension,Increase,4.0,16,Final
Kernan et al 2002,Insulin resistance,Dyslipidemia,Increase,2.0,16,Final
Kernan et al 2002,Insulin resistance,Inflammation,Increase,4.0,16,Final
"Hansson , 2006",Inflammation,Atherosclerosis,Increase,4.17,16,Final
Kahn et. al 2006,Body mass index,Insulin resistance,Increase,4.0,16,Final
Kahn et. al 2006,Body mass index,Inflammation,Increase,4.17,16,Final
"Hering, 2015",Stress - Psychogenic,Sympathetic nervous system structure - Increased,Increase,0.51,16,Final
