Author,Exposure,Outcome,Direction,Strength,ID,Status,Exposure_Standardized,Outcome_Standardized
van der Linden 2017,kidney disease,troponin elevation,Increase,2.0,6,Final,Kidney disease,Troponin
,myocardial infarction (type 1),FIRST ISCHEMIC STROKE,Increase,2.68,6,Final,Myocardial infarction due to atherothrombotic coronary artery disease,Ischemic stroke_1.0
Rizas et al 2017,myocardial infarction (type 1),cardiac autonomic dysbalance,Increase,6.0,6,Final,Myocardial infarction due to atherothrombotic coronary artery disease,Disorder of autonomic nervous system
"thygesen et al 2018, McAloon 2016",myocardial infarction (type 1),mortality,Increase,6.0,6,Final,Myocardial infarction due to atherothrombotic coronary artery disease,Death
thygesen et al 2018,myocardial infarction (type 1),severe arrrhythmia,Increase,6.0,6,Final,Myocardial infarction due to atherothrombotic coronary artery disease,Cardiac arrhythmia
thygesen et al 2018,myocardial infarction (type 1),troponin elevation,Increase,6.0,6,Final,Myocardial infarction due to atherothrombotic coronary artery disease,Troponin
Thygesen 2018,myocardial infarction (type 1),acute heart failure,Increase,6.0,6,Final,Myocardial infarction due to atherothrombotic coronary artery disease,Acute heart failure
Thygesen 2018,myocardial infarction (type 1),cardiac thrombus,Increase,5.0,6,Final,Myocardial infarction due to atherothrombotic coronary artery disease,Thrombus of cardiac chamber
,myocardial infarction (type 1),chronic heart failure,Increase,6.84,6,Final,Myocardial infarction due to atherothrombotic coronary artery disease,Chronic heart failure
DeFilippis 2019,myocardial infarction (type 2),troponin elevation,Increase,6.0,6,Final,Myocardial infarction due to demand ischemia,Troponin
McCarthy et al 2018,myocardial infarction (type 2),mortality,Increase,6.0,6,Final,Myocardial infarction due to demand ischemia,Death
Wiktor 2018,persistent foramen ovale,FIRST ISCHEMIC STROKE,Increase,3.0,6,Final,Patent foramen ovale,Ischemic stroke_1.0
,second ischemic stroke,mortality,Increase,6.0,6,Final,Ischemic stroke_2.0,Death
,seizures,mortality,Increase,6.54,6,Final,Seizure,Death
Faria et al 2020,seizures,troponin elevation,Increase,4.0,6,Final,Seizure,Troponin
,severe arrrhythmia,mortality,Increase,6.68,6,Final,Cardiac arrhythmia,Death
,sex (male),smoking,Increase,3.84,6,Final,Male,Smoker
,sex (male),FIRST ISCHEMIC STROKE,Increase,4.34,6,Final,Male,Ischemic stroke_1.0
,sex (male),Takotsubo syndrome,Decrease,2.68,6,Final,Male,Takotsubo cardiomyopathy
,smoking,FIRST ISCHEMIC STROKE,Increase,6.84,6,Final,Smoker,Ischemic stroke_1.0
,smoking,myocardial infarction (type 1),Increase,6.84,6,Final,Smoker,Myocardial infarction due to atherothrombotic coronary artery disease
,stroke lesion affecting central autonomic network,cardiac autonomic dysbalance,Increase,2.72,6,Final,Lesion of brain,Disorder of autonomic nervous system
Scheitz et.al 2018 lancet,stroke lesion affecting central autonomic network,severe arrrhythmia,Increase,6.0,6,Final,Lesion of brain,Cardiac arrhythmia
Krause et al 2017,stroke lesion affecting central autonomic network,troponin elevation,Increase,6.0,6,Final,Lesion of brain,Troponin
Scheitz 2018,stroke lesion affecting central autonomic network,elevated catecholamines,Increase,2.0,6,Final,Lesion of brain,Catecholamine level - finding
Ghadri et at 2018,Takotsubo syndrome,troponin elevation,Increase,4.0,6,Final,Takotsubo cardiomyopathy,Troponin
scheitz 2014,troponin elevation,higher fitness/mobility post,Increase,3.0,6,Final,Troponin,Physical fitness state_2.0
scheitz 2014,troponin elevation,higher fitness/mobility post,Increase,3.0,6,Final,Troponin,Able to mobilize_2.0
broersen et al 2020,troponin elevation,kognitive decline,Increase,4.0,6,Final,Troponin,Impaired cognition
,age,first-ever ischemic stroke occurence,Increase,6.84,7,Final,Age factor,Ischemic stroke_1.0
,sex (being male),first-ever ischemic stroke occurence,Increase,6.84,7,Final,Male,Ischemic stroke_1.0
,BMI,first-ever ischemic stroke occurence,Increase,6.84,7,Final,Increased body mass index,Ischemic stroke_1.0
Gorelick et al (1997),LDL-cholesterol,first-ever ischemic stroke occurence,Increase,6.0,7,Final,Hypercholesterolemia,Ischemic stroke_1.0
MacMahon et al (1990),blood pressure,first-ever ischemic stroke occurence,Increase,6.0,7,Final,Hypertensive disorder,Ischemic stroke_1.0
,BMI,LDL-cholesterol,Increase,6.84,7,Final,Increased body mass index,Hypercholesterolemia
,BMI,blood pressure,Increase,6.84,7,Final,Increased body mass index,Hypertensive disorder
,LDL-cholesterol,atherosclerosis (measured by low ABI),Increase,6.84,7,Final,Hypercholesterolemia,Atherosclerosis
,atrial fibrilation,first-ever ischemic stroke occurence,Increase,6.84,7,Final,Atrial fibrillation,Ischemic stroke_1.0
,occurence of myocardial infarction,first-ever ischemic stroke occurence,Increase,4.17,7,Final,Myocardial infarction,Ischemic stroke_1.0
Shinton et al (1999),smoking,first-ever ischemic stroke occurence,Increase,6.0,7,Final,Smoker,Ischemic stroke_1.0
Wilhelmsson et al (1975),smoking,occurence of myocardial infarction,Increase,6.0,7,Final,Smoker,Myocardial infarction
,smoking,blood pressure,Increase,6.84,7,Final,Smoker,Hypertensive disorder
,smoking,atherosclerosis (measured by low ABI),Increase,6.84,7,Final,Smoker,Atherosclerosis
,first-ever ischemic stroke occurence,second ischemic stroke occurence,Increase,6.84,7,Final,Ischemic stroke_1.0,Ischemic stroke_2.0
,LDL-cholesterol,second ischemic stroke occurence,Increase,6.84,7,Final,Hypercholesterolemia,Ischemic stroke_2.0
,LDL-cholesterol,second ischemic stroke occurence,Increase,2.58,7,Final,Hypercholesterolemia,Ischemic stroke_2.0
,age,second ischemic stroke occurence,Increase,2.68,7,Final,Age factor,Ischemic stroke_2.0
,BMI,second ischemic stroke occurence,Increase,2.68,7,Final,Increased body mass index,Ischemic stroke_2.0
,atherosclerosis (measured by low ABI),second ischemic stroke occurence,Increase,2.68,7,Final,Atherosclerosis,Ischemic stroke_2.0
,atrial fibrilation,second ischemic stroke occurence,Increase,2.68,7,Final,Atrial fibrillation,Ischemic stroke_2.0
,occurence of myocardial infarction,second ischemic stroke occurence,Increase,2.68,7,Final,Myocardial infarction,Ischemic stroke_2.0
,smoking,second ischemic stroke occurence,Increase,2.68,7,Final,Smoker,Ischemic stroke_2.0
,anticoagulation medication,first-ever ischemic stroke occurence,Decrease,2.68,7,Final,Anticoagulant therapy,Ischemic stroke_1.0
Schneider et al. (2004),first-ever ischemic stroke occurence,cognitive function,Increase,2.0,7,Final,Ischemic stroke_1.0,Impaired cognition
Snowdon et al. (1997),second ischemic stroke occurence,cognitive function,Increase,2.0,7,Final,Ischemic stroke_2.0,Impaired cognition
Schneider et al. (2014),atherosclerosis (measured by low ABI),cognitive function,Increase,2.0,7,Final,Atherosclerosis,Impaired cognition
Guerchet et al (2011),age,cognitive function,Increase,2.68,7,Final,Age factor,Impaired cognition
,diabetes mellitus,first-ever ischemic stroke occurence,Increase,2.0,7,Final,Diabetes mellitus,Ischemic stroke_1.0
Kannell et al (1979),diabetes mellitus,second ischemic stroke occurence,Increase,2.68,7,Final,Diabetes mellitus,Ischemic stroke_2.0
,diabetes mellitus,occurence of myocardial infarction,Increase,2.68,7,Final,Diabetes mellitus,Myocardial infarction
,diabetes mellitus,atherosclerosis (measured by low ABI),Increase,2.68,7,Final,Diabetes mellitus,Atherosclerosis
,sex (being male),atherosclerosis (measured by low ABI),Increase,2.68,7,Final,Male,Atherosclerosis
,BMI,diabetes mellitus,Increase,2.68,7,Final,Increased body mass index,Diabetes mellitus
,age,diabetes mellitus,Increase,2.68,7,Final,Age factor,Diabetes mellitus
,exercise,first-ever ischemic stroke occurence,Decrease,2.68,7,Final,Exercises regularly,Ischemic stroke_1.0
,exercise,BMI,Decrease,2.68,7,Final,Exercises regularly,Increased body mass index
,exercise,LDL-cholesterol,Decrease,0.83,7,Final,Exercises regularly,Hypercholesterolemia
,exercise,blood pressure,Decrease,3.29,7,Final,Exercises regularly,Hypertensive disorder
,exercise,atherosclerosis (measured by low ABI),Decrease,0.78,7,Final,Exercises regularly,Atherosclerosis
,exercise,occurence of myocardial infarction,Decrease,3.29,7,Final,Exercises regularly,Myocardial infarction
,exercise,second ischemic stroke occurence,Decrease,3.29,7,Final,Exercises regularly,Ischemic stroke_2.0
,exercise,diabetes mellitus,Decrease,3.6,7,Final,Exercises regularly,Diabetes mellitus
,infectious endocarditis,first-ever ischemic stroke occurence,Increase,3.6,7,Final,Acute infective endocarditis,Ischemic stroke_1.0
,alcohol consumption,first-ever ischemic stroke occurence,Increase,3.6,7,Final,Current drinker,Ischemic stroke_1.0
,alcohol consumption,second ischemic stroke occurence,Increase,1.46,7,Final,Current drinker,Ischemic stroke_2.0
,alcohol consumption,blood pressure,Increase,1.46,7,Final,Current drinker,Hypertensive disorder
,age,alcohol consumption,Increase,0.89,7,Final,Age factor,Current drinker
,sex (being male),alcohol consumption,Increase,1.81,7,Final,Male,Current drinker
,stress,first-ever ischemic stroke occurence,Increase,2.58,7,Final,Stress,Ischemic stroke_1.0
,stress,blood pressure,Increase,2.58,7,Final,Stress,Hypertensive disorder
,stress,occurence of myocardial infarction,Increase,2.58,7,Final,Stress,Myocardial infarction
,stress,smoking,Increase,1.11,7,Final,Stress,Smoker
,stress,second ischemic stroke occurence,Increase,1.11,7,Final,Stress,Ischemic stroke_2.0
,stress,alcohol consumption,Increase,1.11,7,Final,Stress,Current drinker
,stress,atherosclerosis (measured by low ABI),Increase,1.11,7,Final,Stress,Atherosclerosis
,diabetes mellitus,cognitive function,Increase,2.0,7,Final,Diabetes mellitus,Impaired cognition
Knopman et al (2001),statin use,first-ever ischemic stroke occurence,Decrease,1.0,7,Final,Administration of prophylactic statin,Ischemic stroke_1.0
Hebert et al (1997),statin use,LDL-cholesterol,Decrease,4.8,7,Final,Administration of prophylactic statin,Hypercholesterolemia
,statin use,atherosclerosis (measured by low ABI),Decrease,1.4,7,Final,Administration of prophylactic statin,Atherosclerosis
,statin use,occurence of myocardial infarction,Decrease,2.86,7,Final,Administration of prophylactic statin,Myocardial infarction
,Lipoprotein a,first-ever ischemic stroke occurence,Increase,2.0,7,Final,Lipoprotein (a) hyperlipoproteinemia,Ischemic stroke_1.0
Nave et al (2015),Lipoprotein a,atherosclerosis (measured by low ABI),Increase,2.68,7,Final,Lipoprotein (a) hyperlipoproteinemia,Atherosclerosis
,atherosclerosis (measured by low ABI),first-ever ischemic stroke occurence,Increase,5.0,7,Final,Atherosclerosis,Ischemic stroke_1.0
Hong et al. (2016),blood pressure,cognitive function,Increase,2.68,7,Final,Hypertensive disorder,Impaired cognition
Knopman et al (2001),antihypertensive medicatio,first-ever ischemic stroke occurence,Decrease,2.68,7,Final,Antihypertensive therapy,Ischemic stroke_1.0
Collins et al (1990),antihypertensive medicatio,occurence of myocardial infarction,Decrease,2.68,7,Final,Antihypertensive therapy,Myocardial infarction
Collins et al (1990),BMI,atherosclerosis (measured by low ABI),Increase,2.68,7,Final,Increased body mass index,Atherosclerosis
McGill et al (2002),BMI,occurence of myocardial infarction,Increase,2.68,7,Final,Increased body mass index,Myocardial infarction
Burn et al. (1994),first ischemic stroke,second ischemic stroke,Increase,6.84,9,Final,Ischemic stroke_1.0,Ischemic stroke_2.0
Brønnum-Hansen et al. (2001),first ischemic stroke,mortality,Increase,6.84,9,Final,Ischemic stroke_1.0,Death
Hankey et al. (2002),first ischemic stroke,disability,Increase,6.84,9,Final,Ischemic stroke_1.0,Disability
Davenport et al. (1996),first ischemic stroke,pneumonia,Increase,6.0,9,Final,Ischemic stroke_1.0,Pneumonia
Johnston et al. (1998),first ischemic stroke,urinary tract infection,Increase,6.0,9,Final,Ischemic stroke_1.0,Urinary tract infectious disease
Davenport et al. (1996),pneumonia,mortality,Increase,6.0,9,Final,Pneumonia,Death
Finlayson et al. (2011),second ischemic stroke,mortality,Increase,2.68,9,Final,Ischemic stroke_2.0,Death
Poisson et al. (2010),second ischemic stroke,disability,Increase,2.68,9,Final,Ischemic stroke_2.0,Disability
Ersoz et al. (2007),urinary catheter placement,urinary tract infection,Increase,6.0,9,Final,Procedure involving urinary catheter,Urinary tract infectious disease
van der Worp & Kappelle (1998),first ischemic stroke,bladder dysfunction,Increase,6.0,9,Final,Ischemic stroke_1.0,Dysfunction of urinary bladder
,first ischemic stroke,urinary catheter placement,Increase,2.0,9,Final,Ischemic stroke_1.0,Procedure involving urinary catheter
Poisson et al. (2010),bladder dysfunction,urinary tract infection,Increase,2.68,9,Final,Dysfunction of urinary bladder,Urinary tract infectious disease
,first ischemic stroke,immunosuppression,Increase,0.51,9,Final,Ischemic stroke_1.0,Immunosuppression
Maki & Tambyah (2001),immunosuppression,urinary tract infection,Increase,0.51,9,Final,Immunosuppression,Urinary tract infectious disease
Gould et al. (2010),sex(female),urinary tract infection,Increase,6.0,9,Final,Male,Urinary tract infectious disease
Kong & Young (2000),age,urinary tract infection,Increase,6.0,9,Final,Age factor,Urinary tract infectious disease
Poisson et al. (2010),age,first ischemic stroke,Increase,6.0,9,Final,Age factor,Ischemic stroke_1.0
,urinary tract infection,mortality,Increase,0.51,9,Final,Urinary tract infectious disease,Death
Poisson et al. (2010),urinary tract infection,disability,Increase,0.51,9,Final,Urinary tract infectious disease,Disability
Poisson et al. (2010),first ischemic stroke,body temperature,Increase,0.51,9,Final,Ischemic stroke_1.0,Body temperature above reference range
Azzimondi et al. (1995),urinary tract infection,body temperature,Increase,6.84,9,Final,Urinary tract infectious disease,Body temperature above reference range
Boysen & Christensen (2001),pneumonia,body temperature,Increase,6.84,9,Final,Pneumonia,Body temperature above reference range
,body temperature,mortality,Increase,0.51,9,Final,Body temperature above reference range,Death
,body temperature,disability,Increase,0.51,9,Final,Body temperature above reference range,Disability
Jauch et al. (2013),first ischemic stroke,delirium,Increase,0.51,9,Final,Ischemic stroke_1.0,Delirium
Jauch et al. (2013),age,delirium,Increase,6.84,9,Final,Age factor,Delirium
Oldenbeuving et al. (2007),urinary tract infection,delirium,Increase,0.51,9,Final,Urinary tract infectious disease,Delirium
Oldenbeuving et al. (2007),pneumonia,delirium,Increase,0.51,9,Final,Pneumonia,Delirium
Oldenbeuving et al. (2007),delirium,disability,Increase,0.51,9,Final,Delirium,Disability
Oldenbeuving et al. (2007),stroke unit care,delirium,Decrease,0.51,9,Final,Admission to stroke unit,Delirium
Oldenbeuving et al. (2007),bladder dysfunction,urinary catheter placement,Increase,0.51,9,Final,Dysfunction of urinary bladder,Procedure involving urinary catheter
Oldenbeuving et al. (2007),age,pneumonia,Increase,2.68,9,Final,Age factor,Pneumonia
,pneumonia,disability,Increase,0.51,9,Final,Pneumonia,Disability
Finlayson et al. (2011),first ischemic stroke,dysphagia,Increase,6.0,9,Final,Ischemic stroke_1.0,Dysphagia
Finlayson et al. (2011),dysphagia,pneumonia,Increase,6.84,9,Final,Dysphagia,Pneumonia
Martino et al. (2005),dysphagia,aspiration,Increase,6.84,9,Final,Dysphagia,Aspiration
Martino et al. (2005),aspiration,pneumonia,Increase,6.84,9,Final,Aspiration,Pneumonia
Martino et al. (2005),smoking,first ischemic stroke,Increase,6.84,9,Final,Smoker,Ischemic stroke_1.0
Martino et al. (2005),smoking,second ischemic stroke,Increase,6.84,9,Final,Smoker,Ischemic stroke_2.0
,sex(male),first ischemic stroke,Increase,6.84,9,Final,Male,Ischemic stroke_1.0
,atrial fibrillation,first ischemic stroke,Increase,6.84,9,Final,Atrial fibrillation,Ischemic stroke_1.0
,BMI,first ischemic stroke,Increase,6.84,9,Final,Increased body mass index,Ischemic stroke_1.0
,atrial fibrillation,second ischemic stroke,Increase,6.84,9,Final,Atrial fibrillation,Ischemic stroke_2.0
,BMI,second ischemic stroke,Increase,6.84,9,Final,Increased body mass index,Ischemic stroke_2.0
,blood pressure,first ischemic stroke,Increase,6.84,9,Final,Hypertensive disorder,Ischemic stroke_1.0
,blood pressure,second ischemic stroke,Increase,6.84,9,Final,Hypertensive disorder,Ischemic stroke_2.0
,age,blood pressure,Increase,6.84,9,Final,Age factor,Hypertensive disorder
,age,smoking,Decrease,2.93,9,Final,Age factor,Smoker
,first ischemic stroke,stroke unit care,Increase,6.84,9,Final,Ischemic stroke_1.0,Admission to stroke unit
,blood lipids,first ischemic stroke,Increase,6.84,9,Final,Hyperlipidemia,Ischemic stroke_1.0
Jauch et al. (2013),diabetes,first ischemic stroke,Increase,6.84,9,Final,Diabetes mellitus,Ischemic stroke_1.0
,first ischemic stroke,blood glucose,Increase,6.0,9,Final,Ischemic stroke_1.0,Blood glucose level - finding
Khoury et al. (2013),diabetes,blood glucose,Increase,6.0,9,Final,Diabetes mellitus,Blood glucose level - finding
Jauch et al. (2013),age,diabetes,Increase,2.68,9,Final,Age factor,Diabetes mellitus
,BMI,diabetes,Increase,2.68,9,Final,Increased body mass index,Diabetes mellitus
,sex(male),smoking,Increase,2.68,9,Final,Male,Smoker
Langhorne et al. (2020),stroke unit care,mortality,Decrease,4.71,9,Final,Admission to stroke unit,Death
Langhorne et al. (2020),stroke unit care,disability,Decrease,4.17,9,Final,Admission to stroke unit,Disability
Touzé et al. (2005),first ischemic stroke,myocardial infarction,Increase,1.0,9,Final,Ischemic stroke_1.0,Myocardial infarction
,myocardial infarction,mortality,Increase,6.0,9,Final,Myocardial infarction,Death
Sulter et al. (2000),first ischemic stroke,oxygen saturation,Decrease,5.0,9,Final,Ischemic stroke_1.0,Finding of oxygen saturation
Rowat et al. (2006),patient positioning,oxygen saturation,Increase,0.51,9,Final,Patient position finding,Finding of oxygen saturation
Rowat et al. (2001),pneumonia,oxygen saturation,Decrease,6.84,9,Final,Pneumonia,Finding of oxygen saturation
,age,oxygen saturation,Decrease,0.51,9,Final,Age factor,Finding of oxygen saturation
Sulter et al. (2000),dysphagia,oxygen saturation,Decrease,0.51,9,Final,Dysphagia,Finding of oxygen saturation
Sulter et al. (2000),oxygen saturation,mortality,Decrease,0.51,9,Final,Finding of oxygen saturation,Death
Rowat et al. (2006),first ischemic stroke,dependency,Increase,6.0,9,Final,Ischemic stroke_1.0,Functionally dependent
,disability,dependency,Increase,6.0,9,Final,Disability,Functionally dependent
,dysphagia,dependency,Increase,2.68,9,Final,Dysphagia,Functionally dependent
Martino et al. (2005),first ischemic stroke,urinary incontinence,Increase,2.68,9,Final,Ischemic stroke_1.0,Urinary incontinence
Nakayama et al. (1997),age,urinary incontinence,Increase,2.68,9,Final,Age factor,Urinary incontinence
Nakayama et al. (1997),urinary incontinence,dependency,Increase,2.68,9,Final,Urinary incontinence,Functionally dependent
Patel et al. (2001),diabetes,urinary incontinence,Increase,0.51,9,Final,Diabetes mellitus,Urinary incontinence
,urinary incontinence,urinary catheter placement,Increase,0.51,9,Final,Urinary incontinence,Procedure involving urinary catheter
,first ischemic stroke,paralysis,Increase,6.84,9,Final,Ischemic stroke_1.0,Paralysis
,paralysis,disability,Increase,6.84,9,Final,Paralysis,Disability
,paralysis,dependency,Increase,6.84,9,Final,Paralysis,Functionally dependent
,first ischemic stroke,deep vein thrombosis,Increase,6.84,9,Final,Ischemic stroke_1.0,Deep venous thrombosis
Kappelle et al. (2011),paralysis,deep vein thrombosis,Increase,6.84,9,Final,Paralysis,Deep venous thrombosis
Kappelle et al. (2011),deep vein thrombosis,pulmonary embolism,Increase,6.84,9,Final,Deep venous thrombosis,Pulmonary embolism
,pulmonary embolism,mortality,Increase,6.84,9,Final,Pulmonary embolism,Death
,pulmonary embolism,oxygen saturation,Decrease,6.84,9,Final,Pulmonary embolism,Finding of oxygen saturation
,paralysis,pneumonia,Increase,2.0,9,Final,Paralysis,Pneumonia
,first ischemic stroke,falls,Increase,6.0,9,Final,Ischemic stroke_1.0,Falls
Wei et al. (2019),age,falls,Increase,2.68,9,Final,Age factor,Falls
,urinary incontinence,falls,Increase,2.68,9,Final,Urinary incontinence,Falls
,delirium,falls,Increase,2.68,9,Final,Delirium,Falls
,falls,fractures,Increase,2.0,9,Final,Falls,Fracture of bone
Melton et al. (2001),first ischemic stroke,fractures,Increase,2.68,9,Final,Ischemic stroke_1.0,Fracture of bone
Kanis et al. (2001),fractures,disability,Increase,0.51,9,Final,Fracture of bone,Disability
,fractures,dependency,Increase,0.51,9,Final,Fracture of bone,Functionally dependent
,physical activity,first ischemic stroke,Increase,6.84,9,Final,Exercises regularly,Ischemic stroke_1.0
low or very high,alcohol consumption,first ischemic stroke,Increase,3.84,9,Final,Current drinker,Ischemic stroke_1.0
,atherosclerosis,first ischemic stroke,Increase,6.0,9,Final,Atherosclerosis,Ischemic stroke_1.0
,blood lipids,second ischemic stroke,Increase,6.0,9,Final,Hyperlipidemia,Ischemic stroke_2.0
,alcohol consumption,second ischemic stroke,Increase,3.0,9,Final,Current drinker,Ischemic stroke_2.0
,physical activity,second ischemic stroke,Increase,6.0,9,Final,Exercises regularly,Ischemic stroke_2.0
,education,first ischemic stroke,Decrease,1.0,9,Final,Education and/or schooling finding,Ischemic stroke_1.0
Reshetnyak et al. (2020),income,first ischemic stroke,Decrease,1.0,9,Final,Economic status,Ischemic stroke_1.0
Reshetnyak et al. (2020),social isolation,first ischemic stroke,Increase,0.51,9,Final,Social isolation,Ischemic stroke_1.0
Reshetnyak et al. (2020),TIA,first ischemic stroke,Increase,6.84,9,Final,Transient cerebral ischemia,Ischemic stroke_1.0
O'Donnell et al. 2016,Smoking,first ischemic stroke,Increase,6.84,10,Final,Smoker,Ischemic stroke_1.0
O'Donnell et al. 2016,Diabetes mellitus,first ischemic stroke,Increase,6.84,10,Final,Diabetes mellitus,Ischemic stroke_1.0
O'Donnell et al. 2016,moderate physical activity,first ischemic stroke,Decrease,6.84,10,Final,Exercises regularly,Ischemic stroke_1.0
,moderate physical activity,Diabetes mellitus,Decrease,6.84,10,Final,Exercises regularly,Diabetes mellitus
"O'Donnell et al. 2016, Paterson et al. 2018",healthy (mediterranean) diet,first ischemic stroke,Decrease,6.84,10,Final,Mediterranean diet,Ischemic stroke_1.0
,healthy (mediterranean) diet,Diabetes mellitus,Decrease,3.92,10,Final,Mediterranean diet,Diabetes mellitus
"Ebrahim et al., 2006",hyperlipoproteinemia (high LDL),first ischemic stroke,Increase,6.0,10,Final,Hypercholesterolemia,Ischemic stroke_1.0
,atrial fibrillation,first ischemic stroke,Increase,6.84,10,Final,Atrial fibrillation,Ischemic stroke_1.0
,dissection of cerebral vessel,first ischemic stroke,Increase,6.84,10,Final,Dissection of cerebral artery,Ischemic stroke_1.0
,atherosclerosis,first ischemic stroke,Increase,6.84,10,Final,Atherosclerosis,Ischemic stroke_1.0
,hyperlipoproteinemia (high LDL),atherosclerosis,Increase,6.84,10,Final,Hypercholesterolemia,Atherosclerosis
,positive familiy history of cardio/cerebrovascular events,first ischemic stroke,Increase,6.84,10,Final,Family history of stroke,Ischemic stroke_1.0
,positive familiy history of cardio/cerebrovascular events,first ischemic stroke,Increase,6.84,10,Final,FH: Cardiovascular disease,Ischemic stroke_1.0
,stenoses of cerebral vessels,first ischemic stroke,Increase,4.17,10,Final,Stenosis,Ischemic stroke_1.0
,atherosclerosis,stenoses of cerebral vessels,Increase,6.84,10,Final,Atherosclerosis,Stenosis
,dissection of cerebral vessel,stenoses of cerebral vessels,Increase,6.84,10,Final,Dissection of cerebral artery,Stenosis
In patients where no other risk factors are found and the PFO shows a right-->left shunt and shows a hypermobile septum,patent foramen ovale (PFO),first ischemic stroke,Increase,3.52,10,Final,Patent foramen ovale,Ischemic stroke_1.0
Bushnell at el. 2014,oral contraceptives,first ischemic stroke,Increase,3.0,10,Final,Uses oral contraception,Ischemic stroke_1.0
in women with other cardiovascular risk factors or vessels that are sensitive to homonal changes,depression,first ischemic stroke,Increase,3.0,10,Final,Depressive disorder_2.0,Ischemic stroke_1.0
"O'Donnell et al., 2010",antidepressive medication,first ischemic stroke,Increase,3.52,10,Final,Antidepressant therapy,Ischemic stroke_1.0
,depression,antidepressive medication,Increase,3.52,10,Final,Depressive disorder_2.0,Antidepressant therapy
,antiplatelet therapy (e.g. ASS),first ischemic stroke,Decrease,6.0,10,Final,Platelet aggregation inhibitor therapy,Ischemic stroke_1.0
In patients with high cardiovascular risk profile,Statins,first ischemic stroke,Decrease,6.84,10,Final,Administration of prophylactic statin,Ischemic stroke_1.0
"In patients with high cardiovascular risk profile, especially high LDL-Cholesterine",Statins,hyperlipoproteinemia (high LDL),Decrease,6.0,10,Final,Administration of prophylactic statin,Hypercholesterolemia
"Law et al., 2003",first ischemic stroke,second ischemic stroke,Increase,6.0,10,Final,Ischemic stroke_1.0,Ischemic stroke_2.0
"Khanevski et al., 2019",age,hyperlipoproteinemia (high LDL),Increase,4.34,10,Final,Age factor,Hypercholesterolemia
,age,atrial fibrillation,Increase,6.84,10,Final,Age factor,Atrial fibrillation
,age,patent foramen ovale (PFO),Decrease,3.68,10,Final,Age factor,Patent foramen ovale
,age,first ischemic stroke,Increase,6.84,10,Final,Age factor,Ischemic stroke_1.0
,arterial hypertension,first ischemic stroke,Increase,6.84,10,Final,Hypertensive disorder,Ischemic stroke_1.0
O'Donnell et al 2016,age,death (all causes),Increase,6.0,10,Final,Age factor,Death
,age,arterial hypertension,Increase,6.84,10,Final,Age factor,Hypertensive disorder
,age,second ischemic stroke,Increase,6.0,10,Final,Age factor,Ischemic stroke_2.0
"Khanevski et al., 2019",Smoking,second ischemic stroke,Increase,6.84,10,Final,Smoker,Ischemic stroke_2.0
,Diabetes mellitus,second ischemic stroke,Increase,6.84,10,Final,Diabetes mellitus,Ischemic stroke_2.0
,hyperlipoproteinemia (high LDL),second ischemic stroke,Increase,6.84,10,Final,Hypercholesterolemia,Ischemic stroke_2.0
,moderate physical activity,second ischemic stroke,Decrease,6.84,10,Final,Exercises regularly,Ischemic stroke_2.0
,healthy (mediterranean) diet,second ischemic stroke,Decrease,6.84,10,Final,Mediterranean diet,Ischemic stroke_2.0
,atrial fibrillation,second ischemic stroke,Increase,6.84,10,Final,Atrial fibrillation,Ischemic stroke_2.0
,dissection of cerebral vessel,second ischemic stroke,Increase,6.84,10,Final,Dissection of cerebral artery,Ischemic stroke_2.0
,atherosclerosis,second ischemic stroke,Increase,6.84,10,Final,Atherosclerosis,Ischemic stroke_2.0
,positive familiy history of cardio/cerebrovascular events,second ischemic stroke,Increase,3.6,10,Final,Family history of stroke,Ischemic stroke_2.0
,positive familiy history of cardio/cerebrovascular events,second ischemic stroke,Increase,3.6,10,Final,FH: Cardiovascular disease,Ischemic stroke_2.0
,stenoses of cerebral vessels,second ischemic stroke,Increase,3.6,10,Final,Stenosis,Ischemic stroke_2.0
,antiplatelet therapy (e.g. ASS),second ischemic stroke,Decrease,6.0,10,Final,Platelet aggregation inhibitor therapy,Ischemic stroke_2.0
Kernan et al. 2014,Statins,second ischemic stroke,Decrease,6.0,10,Final,Administration of prophylactic statin,Ischemic stroke_2.0
"Amarenco et al., 2020",first ischemic stroke,post stroke epilepsy,Increase,5.31,10,Final,Ischemic stroke_1.0,Epilepsy due to cerebrovascular accident
Browne and Holmes 2001,second ischemic stroke,post stroke epilepsy,Increase,6.84,10,Final,Ischemic stroke_2.0,Epilepsy due to cerebrovascular accident
Browne and Holmes 2001,stroke severity (e.g. measured by NIHSS),post stroke epilepsy,Increase,6.0,10,Final,Assessment using National Institutes of Health stroke scale,Epilepsy due to cerebrovascular accident
"Slapo et al., 2006",post stroke epilepsy,functional outcome (e.g. measured by mRS),Increase,4.0,10,Final,Epilepsy due to cerebrovascular accident,Assessment using Modified Rankin Scale
Arntz et al. 2013,stroke severity (e.g. measured by NIHSS),functional outcome (e.g. measured by mRS),Increase,4.26,10,Final,Assessment using National Institutes of Health stroke scale,Assessment using Modified Rankin Scale
Arntz et al. 2013,obesity,first ischemic stroke,Increase,5.76,10,Final,Obesity,Ischemic stroke_1.0
,obesity,second ischemic stroke,Increase,5.76,10,Final,Obesity,Ischemic stroke_2.0
