Author,Exposure,Outcome,Direction,Strength,ID,Status,Corrected_Direction,Exposure_name,Outcome_name
,4322978,4310996,Increase,2.68,7,Final,Increase,age,second ischemic stroke occurence
,4171825,4310996,Increase,2.68,7,Final,Increase,BMI,second ischemic stroke occurence
,4306703,4310996,Increase,2.68,7,Final,Increase,atherosclerosis (measured by low ABI),second ischemic stroke occurence
,313217,4310996,Increase,2.68,7,Final,Increase,atrial fibrilation,second ischemic stroke occurence
,4329847,4310996,Increase,2.68,7,Final,Increase,occurence of myocardial infarction,second ischemic stroke occurence
,4298794,4310996,Increase,2.68,7,Final,Increase,smoking,second ischemic stroke occurence
,4056822,4310996,Decrease,2.68,7,Final,Decrease,anticoagulation medication,first-ever ischemic stroke occurence
Schneider et al. (2004),4310996,443432,Decrease,2.0,7,Final,Increase,first-ever ischemic stroke occurence,cognitive function
Snowdon et al. (1997),4310996,443432,Decrease,2.0,7,Final,Increase,second ischemic stroke occurence,cognitive function
Schneider et al. (2014),4306703,443432,Decrease,2.0,7,Final,Increase,atherosclerosis (measured by low ABI),cognitive function
Guerchet et al (2011),4322978,443432,Decrease,2.68,7,Final,Increase,age,cognitive function
,201820,4310996,Increase,2.0,7,Final,Increase,diabetes mellitus,first-ever ischemic stroke occurence
Kannell et al (1979),201820,4310996,Increase,2.68,7,Final,Increase,diabetes mellitus,second ischemic stroke occurence
,201820,4329847,Increase,2.68,7,Final,Increase,diabetes mellitus,occurence of myocardial infarction
,201820,4306703,Increase,2.68,7,Final,Increase,diabetes mellitus,atherosclerosis (measured by low ABI)
,442985,4306703,Increase,2.68,7,Final,Increase,sex (being male),atherosclerosis (measured by low ABI)
,4171825,201820,Increase,2.68,7,Final,Increase,BMI,diabetes mellitus
,4322978,201820,Increase,2.68,7,Final,Increase,age,diabetes mellitus
,4038720,4310996,Decrease,2.68,7,Final,Decrease,exercise,first-ever ischemic stroke occurence
,4038720,4171825,Decrease,2.68,7,Final,Decrease,exercise,BMI
,4038720,4029305,Decrease,0.83,7,Final,Decrease,exercise,LDL-cholesterol
,4038720,316866,Decrease,3.29,7,Final,Decrease,exercise,blood pressure
,4038720,4306703,Decrease,0.78,7,Final,Decrease,exercise,atherosclerosis (measured by low ABI)
,4038720,4329847,Decrease,3.29,7,Final,Decrease,exercise,occurence of myocardial infarction
,4038720,4310996,Decrease,3.29,7,Final,Decrease,exercise,second ischemic stroke occurence
,4038720,201820,Decrease,3.6,7,Final,Decrease,exercise,diabetes mellitus
,43020873,4310996,Increase,3.6,7,Final,Increase,infectious endocarditis,first-ever ischemic stroke occurence
,4074035,4310996,Increase,3.6,7,Final,Increase,alcohol consumption,first-ever ischemic stroke occurence
,4074035,4310996,Increase,1.46,7,Final,Increase,alcohol consumption,second ischemic stroke occurence
,4074035,316866,Increase,1.46,7,Final,Increase,alcohol consumption,blood pressure
,4322978,4074035,Increase,0.89,7,Final,Increase,age,alcohol consumption
,442985,4074035,Increase,1.81,7,Final,Increase,sex (being male),alcohol consumption
,4251306,4310996,Increase,2.58,7,Final,Increase,stress,first-ever ischemic stroke occurence
,4251306,316866,Increase,2.58,7,Final,Increase,stress,blood pressure
,4251306,4329847,Increase,2.58,7,Final,Increase,stress,occurence of myocardial infarction
,4251306,4298794,Increase,1.11,7,Final,Increase,stress,smoking
,4251306,4310996,Increase,1.11,7,Final,Increase,stress,second ischemic stroke occurence
,4251306,4074035,Increase,1.11,7,Final,Increase,stress,alcohol consumption
,4251306,4306703,Increase,1.11,7,Final,Increase,stress,atherosclerosis (measured by low ABI)
,201820,443432,Decrease,2.0,7,Final,Increase,diabetes mellitus,cognitive function
Knopman et al (2001),4201029,4310996,Decrease,1.0,7,Final,Decrease,statin use,first-ever ischemic stroke occurence
Hebert et al (1997),4201029,4029305,Decrease,4.8,7,Final,Decrease,statin use,LDL-cholesterol
,4201029,4306703,Decrease,1.4,7,Final,Decrease,statin use,atherosclerosis (measured by low ABI)
,4201029,4329847,Decrease,2.86,7,Final,Decrease,statin use,occurence of myocardial infarction
,37167374,4310996,Increase,2.0,7,Final,Increase,Lipoprotein a,first-ever ischemic stroke occurence
Nave et al (2015),37167374,4306703,Increase,2.68,7,Final,Increase,Lipoprotein a,atherosclerosis (measured by low ABI)
,4306703,4310996,Increase,5.0,7,Final,Increase,atherosclerosis (measured by low ABI),first-ever ischemic stroke occurence
Hong et al. (2016),316866,443432,Decrease,2.68,7,Final,Increase,blood pressure,cognitive function
Knopman et al (2001),4146455,4310996,Decrease,2.68,7,Final,Decrease,antihypertensive medicatio,first-ever ischemic stroke occurence
Collins et al (1990),4146455,4329847,Decrease,2.68,7,Final,Decrease,antihypertensive medicatio,occurence of myocardial infarction
Collins et al (1990),4171825,4306703,Increase,2.68,7,Final,Increase,BMI,atherosclerosis (measured by low ABI)
McGill et al (2002),4171825,4329847,Increase,2.68,7,Final,Increase,BMI,occurence of myocardial infarction
Burn et al. (1994),4310996,4310996,Increase,6.84,9,Final,Increase,first ischemic stroke,second ischemic stroke
Brønnum-Hansen et al. (2001),4310996,4306655,Increase,6.84,9,Final,Increase,first ischemic stroke,mortality
Hankey et al. (2002),4310996,4052648,Increase,6.84,9,Final,Increase,first ischemic stroke,disability
Davenport et al. (1996),4310996,255848,Increase,6.0,9,Final,Increase,first ischemic stroke,pneumonia
Johnston et al. (1998),4310996,81902,Increase,6.0,9,Final,Increase,first ischemic stroke,urinary tract infection
Davenport et al. (1996),255848,4306655,Increase,6.0,9,Final,Increase,pneumonia,mortality
Finlayson et al. (2011),4310996,4306655,Increase,2.68,9,Final,Increase,second ischemic stroke,mortality
Poisson et al. (2010),4310996,4052648,Increase,2.68,9,Final,Increase,second ischemic stroke,disability
Ersoz et al. (2007),4181165,81902,Increase,6.0,9,Final,Increase,urinary catheter placement,urinary tract infection
van der Worp & Kappelle (1998),4310996,4224118,Increase,6.0,9,Final,Increase,first ischemic stroke,bladder dysfunction
,4310996,4181165,Increase,2.0,9,Final,Increase,first ischemic stroke,urinary catheter placement
Poisson et al. (2010),4224118,81902,Increase,2.68,9,Final,Increase,bladder dysfunction,urinary tract infection
,4310996,4242843,Increase,0.51,9,Final,Increase,first ischemic stroke,immunosuppression
Maki & Tambyah (2001),4242843,81902,Increase,0.51,9,Final,Increase,immunosuppression,urinary tract infection
Gould et al. (2010),442985,81902,Increase,6.0,9,Final,Decrease,sex(female),urinary tract infection
Kong & Young (2000),4322978,81902,Increase,6.0,9,Final,Increase,age,urinary tract infection
Poisson et al. (2010),4322978,4310996,Increase,6.0,9,Final,Increase,age,first ischemic stroke
,81902,4306655,Increase,0.51,9,Final,Increase,urinary tract infection,mortality
Poisson et al. (2010),81902,4052648,Increase,0.51,9,Final,Increase,urinary tract infection,disability
Poisson et al. (2010),4310996,4178904,Increase,0.51,9,Final,Increase,first ischemic stroke,body temperature
Azzimondi et al. (1995),81902,4178904,Increase,6.84,9,Final,Increase,urinary tract infection,body temperature
Boysen & Christensen (2001),255848,4178904,Increase,6.84,9,Final,Increase,pneumonia,body temperature
,4178904,4306655,Increase,0.51,9,Final,Increase,body temperature,mortality
,4178904,4052648,Increase,0.51,9,Final,Increase,body temperature,disability
Jauch et al. (2013),4310996,373995,Increase,0.51,9,Final,Increase,first ischemic stroke,delirium
Jauch et al. (2013),4322978,373995,Increase,6.84,9,Final,Increase,age,delirium
Oldenbeuving et al. (2007),81902,373995,Increase,0.51,9,Final,Increase,urinary tract infection,delirium
Oldenbeuving et al. (2007),255848,373995,Increase,0.51,9,Final,Increase,pneumonia,delirium
Oldenbeuving et al. (2007),373995,4052648,Increase,0.51,9,Final,Increase,delirium,disability
Oldenbeuving et al. (2007),4143576,373995,Decrease,0.51,9,Final,Decrease,stroke unit care,delirium
Oldenbeuving et al. (2007),4224118,4181165,Increase,0.51,9,Final,Increase,bladder dysfunction,urinary catheter placement
Oldenbeuving et al. (2007),4322978,255848,Increase,2.68,9,Final,Increase,age,pneumonia
,255848,4052648,Increase,0.51,9,Final,Increase,pneumonia,disability
Finlayson et al. (2011),4310996,31317,Increase,6.0,9,Final,Increase,first ischemic stroke,dysphagia
Finlayson et al. (2011),31317,255848,Increase,6.84,9,Final,Increase,dysphagia,pneumonia
Martino et al. (2005),31317,4033232,Increase,6.84,9,Final,Increase,dysphagia,aspiration
Martino et al. (2005),4033232,255848,Increase,6.84,9,Final,Increase,aspiration,pneumonia
Martino et al. (2005),4298794,4310996,Increase,6.84,9,Final,Increase,smoking,first ischemic stroke
Martino et al. (2005),4298794,4310996,Increase,6.84,9,Final,Increase,smoking,second ischemic stroke
,442985,4310996,Increase,6.84,9,Final,Increase,sex(male),first ischemic stroke
,313217,4310996,Increase,6.84,9,Final,Increase,atrial fibrillation,first ischemic stroke
,4171825,4310996,Increase,6.84,9,Final,Increase,BMI,first ischemic stroke
,313217,4310996,Increase,6.84,9,Final,Increase,atrial fibrillation,second ischemic stroke
,4171825,4310996,Increase,6.84,9,Final,Increase,BMI,second ischemic stroke
,316866,4310996,Increase,6.84,9,Final,Increase,blood pressure,first ischemic stroke
,316866,4310996,Increase,6.84,9,Final,Increase,blood pressure,second ischemic stroke
,4322978,316866,Increase,6.84,9,Final,Increase,age,blood pressure
,4322978,4298794,Decrease,2.93,9,Final,Decrease,age,smoking
,4310996,4143576,Increase,6.84,9,Final,Increase,first ischemic stroke,stroke unit care
,432867,4310996,Increase,6.84,9,Final,Increase,blood lipids,first ischemic stroke
Jauch et al. (2013),201820,4310996,Increase,6.84,9,Final,Increase,diabetes,first ischemic stroke
,4310996,4275337,Increase,6.0,9,Final,Increase,first ischemic stroke,blood glucose
Khoury et al. (2013),201820,4275337,Increase,6.0,9,Final,Increase,diabetes,blood glucose
Jauch et al. (2013),4322978,201820,Increase,2.68,9,Final,Increase,age,diabetes
,4171825,201820,Increase,2.68,9,Final,Increase,BMI,diabetes
,442985,4298794,Increase,2.68,9,Final,Increase,sex(male),smoking
Langhorne et al. (2020),4143576,4306655,Decrease,4.71,9,Final,Decrease,stroke unit care,mortality
Langhorne et al. (2020),4143576,4052648,Decrease,4.17,9,Final,Decrease,stroke unit care,disability
Touzé et al. (2005),4310996,4329847,Increase,1.0,9,Final,Increase,first ischemic stroke,myocardial infarction
,4329847,4306655,Increase,6.0,9,Final,Increase,myocardial infarction,mortality
Sulter et al. (2000),4310996,40486533,Decrease,5.0,9,Final,Decrease,first ischemic stroke,oxygen saturation
Rowat et al. (2006),4156503,40486533,Increase,0.51,9,Final,Increase,patient positioning,oxygen saturation
Rowat et al. (2001),255848,40486533,Decrease,6.84,9,Final,Decrease,pneumonia,oxygen saturation
,4322978,40486533,Decrease,0.51,9,Final,Decrease,age,oxygen saturation
Sulter et al. (2000),31317,40486533,Decrease,0.51,9,Final,Decrease,dysphagia,oxygen saturation
Sulter et al. (2000),40486533,4306655,Decrease,0.51,9,Final,Decrease,oxygen saturation,mortality
Rowat et al. (2006),4310996,36713755,Increase,6.0,9,Final,Increase,first ischemic stroke,dependency
,4052648,36713755,Increase,6.0,9,Final,Increase,disability,dependency
,31317,36713755,Increase,2.68,9,Final,Increase,dysphagia,dependency
Martino et al. (2005),4310996,197672,Increase,2.68,9,Final,Increase,first ischemic stroke,urinary incontinence
Nakayama et al. (1997),4322978,197672,Increase,2.68,9,Final,Increase,age,urinary incontinence
Nakayama et al. (1997),197672,36713755,Increase,2.68,9,Final,Increase,urinary incontinence,dependency
Patel et al. (2001),201820,197672,Increase,0.51,9,Final,Increase,diabetes,urinary incontinence
,197672,4181165,Increase,0.51,9,Final,Increase,urinary incontinence,urinary catheter placement
,4310996,440377,Increase,6.84,9,Final,Increase,first ischemic stroke,paralysis
,440377,4052648,Increase,6.84,9,Final,Increase,paralysis,disability
,440377,36713755,Increase,6.84,9,Final,Increase,paralysis,dependency
,4310996,4133004,Increase,6.84,9,Final,Increase,first ischemic stroke,deep vein thrombosis
Kappelle et al. (2011),440377,4133004,Increase,6.84,9,Final,Increase,paralysis,deep vein thrombosis
Kappelle et al. (2011),4133004,440417,Increase,6.84,9,Final,Increase,deep vein thrombosis,pulmonary embolism
,440417,4306655,Increase,6.84,9,Final,Increase,pulmonary embolism,mortality
,440417,40486533,Decrease,6.84,9,Final,Decrease,pulmonary embolism,oxygen saturation
,440377,255848,Increase,2.0,9,Final,Increase,paralysis,pneumonia
,4310996,4059015,Increase,6.0,9,Final,Increase,first ischemic stroke,falls
Wei et al. (2019),4322978,4059015,Increase,2.68,9,Final,Increase,age,falls
,197672,4059015,Increase,2.68,9,Final,Increase,urinary incontinence,falls
,373995,4059015,Increase,2.68,9,Final,Increase,delirium,falls
,4059015,75053,Increase,2.0,9,Final,Increase,falls,fractures
Melton et al. (2001),4310996,75053,Increase,2.68,9,Final,Increase,first ischemic stroke,fractures
Kanis et al. (2001),75053,4052648,Increase,0.51,9,Final,Increase,fractures,disability
,75053,36713755,Increase,0.51,9,Final,Increase,fractures,dependency
,4038720,4310996,Increase,6.84,9,Final,Increase,physical activity,first ischemic stroke
low or very high,4074035,4310996,Increase,3.84,9,Final,Increase,alcohol consumption,first ischemic stroke
,4306703,4310996,Increase,6.0,9,Final,Increase,atherosclerosis,first ischemic stroke
,432867,4310996,Increase,6.0,9,Final,Increase,blood lipids,second ischemic stroke
,4074035,4310996,Increase,3.0,9,Final,Increase,alcohol consumption,second ischemic stroke
,4038720,4310996,Increase,6.0,9,Final,Increase,physical activity,second ischemic stroke
,4268546,4310996,Decrease,1.0,9,Final,Decrease,education,first ischemic stroke
Reshetnyak et al. (2020),4249447,4310996,Decrease,1.0,9,Final,Decrease,income,first ischemic stroke
Reshetnyak et al. (2020),4309238,4310996,Increase,0.51,9,Final,Increase,social isolation,first ischemic stroke
Reshetnyak et al. (2020),373503,4310996,Increase,6.84,9,Final,Increase,TIA,first ischemic stroke
O'Donnell et al. 2016,4298794,4310996,Increase,6.84,10,Final,Increase,Smoking,first ischemic stroke
O'Donnell et al. 2016,201820,4310996,Increase,6.84,10,Final,Increase,Diabetes mellitus,first ischemic stroke
O'Donnell et al. 2016,4038720,4310996,Decrease,6.84,10,Final,Decrease,moderate physical activity,first ischemic stroke
,4038720,201820,Decrease,6.84,10,Final,Decrease,moderate physical activity,Diabetes mellitus
"O'Donnell et al. 2016, Paterson et al. 2018",37150978,4310996,Decrease,6.84,10,Final,Decrease,healthy (mediterranean) diet,first ischemic stroke
,37150978,201820,Decrease,3.92,10,Final,Decrease,healthy (mediterranean) diet,Diabetes mellitus
"Ebrahim et al., 2006",4029305,4310996,Increase,6.0,10,Final,Increase,hyperlipoproteinemia (high LDL),first ischemic stroke
,313217,4310996,Increase,6.84,10,Final,Increase,atrial fibrillation,first ischemic stroke
,37016924,4310996,Increase,6.84,10,Final,Increase,dissection of cerebral vessel,first ischemic stroke
,4306703,4310996,Increase,6.84,10,Final,Increase,atherosclerosis,first ischemic stroke
,4029305,4306703,Increase,6.84,10,Final,Increase,hyperlipoproteinemia (high LDL),atherosclerosis
,4169009,4310996,Increase,6.84,10,Final,Increase,positive familiy history of cardio/cerebrovascular events,first ischemic stroke
,4148407,4310996,Increase,6.84,10,Final,Increase,positive familiy history of cardio/cerebrovascular events,first ischemic stroke
,4217691,4310996,Increase,4.17,10,Final,Increase,stenoses of cerebral vessels,first ischemic stroke
,4306703,4217691,Increase,6.84,10,Final,Increase,atherosclerosis,stenoses of cerebral vessels
,37016924,4217691,Increase,6.84,10,Final,Increase,dissection of cerebral vessel,stenoses of cerebral vessels
In patients where no other risk factors are found and the PFO shows a right-->left shunt and shows a hypermobile septum,4070299,4310996,Increase,3.52,10,Final,Increase,patent foramen ovale (PFO),first ischemic stroke
Bushnell at el. 2014,4241216,4310996,Increase,3.0,10,Final,Increase,oral contraceptives,first ischemic stroke
in women with other cardiovascular risk factors or vessels that are sensitive to homonal changes,440383,4310996,Increase,3.0,10,Final,Increase,depression,first ischemic stroke
"O'Donnell et al., 2010",44784326,4310996,Increase,3.52,10,Final,Increase,antidepressive medication,first ischemic stroke
,440383,44784326,Increase,3.52,10,Final,Increase,depression,antidepressive medication
,3655005,4310996,Decrease,6.0,10,Final,Decrease,antiplatelet therapy (e.g. ASS),first ischemic stroke
In patients with high cardiovascular risk profile,4201029,4310996,Decrease,6.84,10,Final,Decrease,Statins,first ischemic stroke
"In patients with high cardiovascular risk profile, especially high LDL-Cholesterine",4201029,4029305,Decrease,6.0,10,Final,Decrease,Statins,hyperlipoproteinemia (high LDL)
"Law et al., 2003",4310996,4310996,Increase,6.0,10,Final,Increase,first ischemic stroke,second ischemic stroke
"Khanevski et al., 2019",4322978,4029305,Increase,4.34,10,Final,Increase,age,hyperlipoproteinemia (high LDL)
,4322978,313217,Increase,6.84,10,Final,Increase,age,atrial fibrillation
,4322978,4070299,Decrease,3.68,10,Final,Decrease,age,patent foramen ovale (PFO)
,4322978,4310996,Increase,6.84,10,Final,Increase,age,first ischemic stroke
,316866,4310996,Increase,6.84,10,Final,Increase,arterial hypertension,first ischemic stroke
O'Donnell et al 2016,4322978,4306655,Increase,6.0,10,Final,Increase,age,death (all causes)
,4322978,316866,Increase,6.84,10,Final,Increase,age,arterial hypertension
,4322978,4310996,Increase,6.0,10,Final,Increase,age,second ischemic stroke
"Khanevski et al., 2019",4298794,4310996,Increase,6.84,10,Final,Increase,Smoking,second ischemic stroke
,201820,4310996,Increase,6.84,10,Final,Increase,Diabetes mellitus,second ischemic stroke
,4029305,4310996,Increase,6.84,10,Final,Increase,hyperlipoproteinemia (high LDL),second ischemic stroke
,4038720,4310996,Decrease,6.84,10,Final,Decrease,moderate physical activity,second ischemic stroke
,37150978,4310996,Decrease,6.84,10,Final,Decrease,healthy (mediterranean) diet,second ischemic stroke
,313217,4310996,Increase,6.84,10,Final,Increase,atrial fibrillation,second ischemic stroke
,37016924,4310996,Increase,6.84,10,Final,Increase,dissection of cerebral vessel,second ischemic stroke
,4306703,4310996,Increase,6.84,10,Final,Increase,atherosclerosis,second ischemic stroke
,4169009,4310996,Increase,3.6,10,Final,Increase,positive familiy history of cardio/cerebrovascular events,second ischemic stroke
,4148407,4310996,Increase,3.6,10,Final,Increase,positive familiy history of cardio/cerebrovascular events,second ischemic stroke
,4217691,4310996,Increase,3.6,10,Final,Increase,stenoses of cerebral vessels,second ischemic stroke
,3655005,4310996,Decrease,6.0,10,Final,Decrease,antiplatelet therapy (e.g. ASS),second ischemic stroke
Kernan et al. 2014,4201029,4310996,Decrease,6.0,10,Final,Decrease,Statins,second ischemic stroke
"Amarenco et al., 2020",4310996,37110522,Increase,5.31,10,Final,Increase,first ischemic stroke,post stroke epilepsy
Browne and Holmes 2001,4310996,37110522,Increase,6.84,10,Final,Increase,second ischemic stroke,post stroke epilepsy
Browne and Holmes 2001,42872750,37110522,Increase,6.0,10,Final,Increase,stroke severity (e.g. measured by NIHSS),post stroke epilepsy
"Slapo et al., 2006",37110522,3654822,Increase,4.0,10,Final,Increase,post stroke epilepsy,functional outcome (e.g. measured by mRS)
Arntz et al. 2013,42872750,3654822,Increase,4.26,10,Final,Increase,stroke severity (e.g. measured by NIHSS),functional outcome (e.g. measured by mRS)
Arntz et al. 2013,433736,4310996,Increase,5.76,10,Final,Increase,obesity,first ischemic stroke
,433736,4310996,Increase,5.76,10,Final,Increase,obesity,second ischemic stroke
"Kernan et al., 2014 (AHA/ASA Guideline)",313459,4310996,Increase,5.76,10,Final,Increase,sleep apnea,first ischemic stroke
"Kernan et al., 2014 (AHA/ASA Guideline)",313459,4310996,Increase,5.76,10,Final,Increase,sleep apnea,second ischemic stroke
"Kernan et al., 2014 (AHA/ASA Guideline)",433736,313459,Increase,3.29,10,Final,Increase,obesity,sleep apnea
"Kernan et al., 2014 (AHA/ASA Guideline)",4056822,4310996,Decrease,6.84,10,Final,Decrease,anticoagulation,first ischemic stroke
,4056822,4310996,Decrease,6.84,10,Final,Decrease,anticoagulation,second ischemic stroke
Kernan et al. 2014 (for some patients patients with atrial fibrillation and some patients with thrombophilia),4249447,4306655,Increase,4.43,10,Final,Decrease,low socioeconomic status,death (all causes)
Kernan et al. 2014 (for patients patients with atrial fibrillation and some patients with thrombophilia),37110522,4306655,Increase,6.26,10,Final,Increase,post stroke epilepsy,death (all causes)
"Vivanco-Hidalgo et al., 2019",316866,4310996,Increase,6.0,10,Final,Increase,arterial hypertension,second ischemic stroke
Arrich et al. 2005,316866,4306703,Increase,5.53,10,Final,Increase,arterial hypertension,atherosclerosis
Burneo et al. 2009,442985,4241216,Increase,4.52,10,Final,Decrease,female sex,oral contraceptives
"Khanevsky et al., 2019",442985,440383,Increase,4.52,10,Final,Decrease,female sex,depression
,442985,4310996,Decrease,4.43,10,Final,Increase,female sex,first ischemic stroke
,442985,4310996,Decrease,4.43,10,Final,Increase,female sex,second ischemic stroke
Bushnell et al. 2014,442985,381549,Increase,4.43,10,Final,Decrease,female sex,migraine with aura
Bushnell et al. 2014,381549,4310996,Increase,4.43,10,Final,Increase,migraine with aura,first ischemic stroke
Bushnell et al. 2014,381549,4310996,Increase,3.84,10,Final,Increase,migraine with aura,second ischemic stroke
Bushnell et al. 2014,442985,316866,Increase,3.84,10,Final,Decrease,female sex,arterial hypertension
Bushnell et al. 2014,4241216,4310996,Increase,4.08,10,Final,Increase,oral contraceptives,second ischemic stroke
Bushnell et al. 2014,439393,4310996,Increase,4.08,10,Final,Increase,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",second ischemic stroke
Bushnell et al. 2014,42538946,4310996,Increase,4.08,10,Final,Increase,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",second ischemic stroke
Bushnell et al. 2014,37018765,4310996,Increase,4.08,10,Final,Increase,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",second ischemic stroke
Bushnell et al. 2014,439393,4310996,Increase,4.08,10,Final,Increase,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",first ischemic stroke
Bushnell et al. 2014,42538946,4310996,Increase,4.08,10,Final,Increase,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",first ischemic stroke
Bushnell et al. 2014,37018765,4310996,Increase,4.08,10,Final,Increase,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",first ischemic stroke
Bushnell et al. 2014,439393,316866,Increase,4.08,10,Final,Increase,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",arterial hypertension
Bushnell et al. 2014,42538946,316866,Increase,4.08,10,Final,Increase,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",arterial hypertension
Bushnell et al. 2014,37018765,316866,Increase,4.08,10,Final,Increase,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",arterial hypertension
Bushnell et al. 2014,439393,201820,Increase,4.08,10,Final,Increase,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",Diabetes mellitus
Bushnell et al. 2014,42538946,201820,Increase,4.08,10,Final,Increase,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",Diabetes mellitus
Bushnell et al. 2014,37018765,201820,Increase,4.08,10,Final,Increase,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)",Diabetes mellitus
Bushnell et al. 2014,442985,439393,Increase,6.84,10,Final,Decrease,female sex,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)"
Bushnell et al. 2014,442985,42538946,Increase,6.84,10,Final,Decrease,female sex,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)"
Bushnell et al. 2014,442985,37018765,Increase,6.84,10,Final,Decrease,female sex,"preeclampsia and other pregancy related complications (e.g. arterial hypertension, diabetes)"
Bushnell et al. 2014,4038720,433736,Decrease,6.84,10,Final,Decrease,moderate physical activity,obesity
Bushnell et al. 2014,37150978,433736,Decrease,6.84,10,Final,Decrease,healthy (mediterranean) diet,obesity
Bushnell et al. 2014,42872750,4306655,Increase,6.84,10,Final,Increase,stroke severity (e.g. measured by NIHSS),death (all causes)
,4310996,4306655,Increase,6.26,10,Final,Increase,first ischemic stroke,death (all causes)
,4310996,4306655,Increase,6.26,10,Final,Increase,second ischemic stroke,death (all causes)
,440383,4306655,Increase,5.53,10,Final,Increase,depression,death (all causes)
"Khanevski et al., 2019",4038720,381549,Decrease,4.17,10,Final,Decrease,moderate physical activity,migraine with aura
"Khanevski et al., 2019",37150978,4306655,Decrease,5.42,10,Final,Decrease,healthy (mediterranean) diet,death (all causes)
,433736,4306655,Increase,5.42,10,Final,Increase,obesity,death (all causes)
,4298794,4306655,Increase,5.42,10,Final,Increase,Smoking,death (all causes)
"Bushnell et al., 2014",4038720,4306655,Decrease,5.42,10,Final,Decrease,moderate physical activity,death (all causes)
"Bushnell et al., 2014",313217,4306655,Increase,5.42,10,Final,Increase,atrial fibrillation,death (all causes)
"Bushnell et al., 2014",313217,42872750,Increase,6.84,10,Final,Increase,atrial fibrillation,stroke severity (e.g. measured by NIHSS)
"Bushnell et al., 2014",313217,4056822,Increase,6.84,10,Final,Increase,atrial fibrillation,anticoagulation
"Goldstein et al., 2011",4306703,3655005,Increase,6.84,10,Final,Increase,atherosclerosis,antiplatelet therapy (e.g. ASS)
"Goldstein et al., 2011",4217691,3655005,Increase,6.84,10,Final,Increase,stenoses of cerebral vessels,antiplatelet therapy (e.g. ASS)
,4298794,4306703,Increase,6.84,10,Final,Increase,Smoking,atherosclerosis
,4298794,4217691,Increase,6.84,10,Final,Increase,Smoking,stenoses of cerebral vessels
,313459,316866,Increase,4.52,10,Final,Increase,sleep apnea,arterial hypertension
,201820,316866,Increase,4.52,10,Final,Increase,Diabetes mellitus,arterial hypertension
,4249447,4298794,Increase,4.0,10,Final,Decrease,low socioeconomic status,Smoking
,4249447,316866,Increase,4.08,10,Final,Decrease,low socioeconomic status,arterial hypertension
,4249447,37150978,Decrease,4.08,10,Final,Increase,low socioeconomic status,healthy (mediterranean) diet
Marshall et al. 2015,4249447,4038720,Decrease,4.08,10,Final,Increase,low socioeconomic status,moderate physical activity
Marshall et al. 2015,4249447,4310996,Increase,4.08,10,Final,Decrease,low socioeconomic status,first ischemic stroke
Marshall et al. 2015,4249447,4310996,Increase,4.08,10,Final,Decrease,low socioeconomic status,second ischemic stroke
Marshall et al. 2015,4249447,440383,Increase,5.53,10,Final,Decrease,low socioeconomic status,depression
Marshall et al. 2015,4200516,3654822,Increase,5.53,10,Final,Increase,cortical involvement or strategical localisation of stroke lesion,functional outcome (e.g. measured by mRS)
Marshall et al. 2015,4200516,37110522,Increase,5.53,10,Final,Increase,cortical involvement or strategical localisation of stroke lesion,post stroke epilepsy
Lorant et al. 2013,4310996,3654822,Increase,5.0,10,Final,Increase,second ischemic stroke,functional outcome (e.g. measured by mRS)
"Asplund et al, Stroke 2009",4322978,4310996,Increase,6.0,11,Final,Increase,age,first ischemic stroke
40:2319-2326,442985,4310996,Increase,5.0,11,Final,Increase,male sex,first ischemic stroke
"Bushnell et al., JCBF2018",316866,4310996,Increase,5.0,11,Final,Increase,hypertension,first ischemic stroke
38: 2179–2191)postmenopausal vs premenopausal,436940,4310996,Increase,6.0,11,Final,Increase,metabolic syndrom,first ischemic stroke
"Cipolla et al., JCBF2018",4180169,4310996,Increase,6.0,11,Final,Increase,inflammation,first ischemic stroke
38:2129-2149,4180169,4068351,Increase,6.0,11,Final,Decrease,inflammation,blood-brain barrier breakdown
"includes diabetes, hyperlipoproteinemia, obesity (Sol M Rodriguez-Colon, stroke 2009",4068351,4310996,Increase,6.0,11,Final,Decrease,blood-brain barrier breakdown,first ischemic stroke
40:200-205),436940,4232457,Increase,6.0,11,Final,Increase,metabolic syndrom,white matter hyperintensities (MRI)
"Bernardo-Castro et al., Front Neurol 2020",4232457,4310996,Increase,6.0,11,Final,Increase,white matter hyperintensities (MRI),first ischemic stroke
